Country,city_name,stat_date(周),Daily Orders
MX,Cordoba,2024-11-18 / 2024-11-24,113
MX,Comitan de Dominguez,2024-11-18 / 2024-11-24,0
MX,Xalapa,2024-11-18 / 2024-11-24,62
MX,San Cristobal de las Casas,2024-11-18 / 2024-11-24,28
MX,Veracruz,2024-11-18 / 2024-11-24,513
MX,Merida,2024-11-18 / 2024-11-24,882
MX,Puebla,2024-11-18 / 2024-11-24,2641
MX,Los Cabos,2024-11-18 / 2024-11-24,179
MX,Colima,2024-11-18 / 2024-11-24,131
MX,Manzanillo,2024-11-18 / 2024-11-24,159
MX,La Paz,2024-11-18 / 2024-11-24,147
MX,Puerto Vallarta,2024-11-18 / 2024-11-24,142
MX,Nogales(SON),2024-11-18 / 2024-11-24,0
MX,Ensenada,2024-11-18 / 2024-11-24,686
MX,Guaymas,2024-11-18 / 2024-11-24,0
MX,Navojoa,2024-11-18 / 2024-11-24,30
MX,Ciudad Obregon,2024-11-18 / 2024-11-24,606
MX,Tepic,2024-11-18 / 2024-11-24,697
MX,Mazatlan,2024-11-18 / 2024-11-24,622
MX,Culiacan,2024-11-18 / 2024-11-24,2192
MX,Tijuana,2024-11-18 / 2024-11-24,1776
MX,Mexicali,2024-11-18 / 2024-11-24,3888
MX,Los Mochis-Guasave,2024-11-18 / 2024-11-24,411
MX,Hermosillo,2024-11-18 / 2024-11-24,1310
MX,Guadalajara,2024-11-18 / 2024-11-24,9050
MX,Delicias,2024-11-18 / 2024-11-24,47
MX,San Miguel de Allende,2024-11-18 / 2024-11-24,0
MX,Valles City,2024-11-18 / 2024-11-24,-
MX,Irapuato,2024-11-18 / 2024-11-24,128
MX,Salamanca,2024-11-18 / 2024-11-24,31
MX,Celaya,2024-11-18 / 2024-11-24,244
MX,Nuevo Laredo,2024-11-18 / 2024-11-24,55
MX,Matamoros,2024-11-18 / 2024-11-24,267
MX,Reynosa,2024-11-18 / 2024-11-24,0
MX,Piedras Negras,2024-11-18 / 2024-11-24,-
MX,Torreon,2024-11-18 / 2024-11-24,999
MX,Monclova,2024-11-18 / 2024-11-24,0
MX,Durango,2024-11-18 / 2024-11-24,1662
MX,Chihuahua,2024-11-18 / 2024-11-24,3120
MX,Victoria,2024-11-18 / 2024-11-24,184
MX,Jaurez CHIH,2024-11-18 / 2024-11-24,3877
MX,Saltillo,2024-11-18 / 2024-11-24,737
MX,Monterrey,2024-11-18 / 2024-11-24,7916
MX,Aguascalientes,2024-11-18 / 2024-11-24,639
MX,Zacatecas,2024-11-18 / 2024-11-24,209
MX,Tampico,2024-11-18 / 2024-11-24,955
MX,Leon,2024-11-18 / 2024-11-24,924
MX,Queretaro,2024-11-18 / 2024-11-24,1358
MX,San Juan del Río,2024-11-18 / 2024-11-24,141
MX,San Luis Potosi,2024-11-18 / 2024-11-24,708
MX,Mexico City,2024-11-18 / 2024-11-24,13996
MX,Toluca,2024-11-18 / 2024-11-24,1101
CO,Valledupar,2024-11-18 / 2024-11-24,0
CO,Villavicencio,2024-11-18 / 2024-11-24,0
CO,Santa marta,2024-11-18 / 2024-11-24,-
CO,Cúcuta,2024-11-18 / 2024-11-24,3
CO,Barranquilla,2024-11-18 / 2024-11-24,847
CO,Bucaramanga,2024-11-18 / 2024-11-24,358
CO,Ibagué,2024-11-18 / 2024-11-24,0
CO,Cartagena,2024-11-18 / 2024-11-24,59
CO,Manizales,2024-11-18 / 2024-11-24,0
CO,Medellín,2024-11-18 / 2024-11-24,5639
CO,Cali,2024-11-18 / 2024-11-24,1688
CO,Pereira,2024-11-18 / 2024-11-24,0
CO,"Bogotá, D.C.",2024-11-18 / 2024-11-24,8279
CR,Liberia,2024-11-18 / 2024-11-24,-
CR,Limon,2024-11-18 / 2024-11-24,-
CR,San Jose,2024-11-18 / 2024-11-24,2145
PE,Arequipa,2024-11-18 / 2024-11-24,-
PE,Trujillo,2024-11-18 / 2024-11-24,-
PE,Lima,2024-11-18 / 2024-11-24,1578
MX,Poza Rica de Hidalgo,2024-11-11 / 2024-11-17,12
MX,Las Choapas,2024-11-11 / 2024-11-17,12
MX,Acapulco,2024-11-11 / 2024-11-17,47
MX,Chilpancingo de los Bravo,2024-11-11 / 2024-11-17,-
MX,Tehuacan,2024-11-11 / 2024-11-17,61
MX,Uruapan,2024-11-11 / 2024-11-17,0
MX,Coatzacoalcos,2024-11-11 / 2024-11-17,46
MX,Zamora,2024-11-11 / 2024-11-17,-
MX,Solidaridad,2024-11-11 / 2024-11-17,54
MX,Carmen,2024-11-11 / 2024-11-17,11
MX,Tuxtla Gutierrez,2024-11-11 / 2024-11-17,352
MX,Chetumal,2024-11-11 / 2024-11-17,8
MX,Villahermosa,2024-11-11 / 2024-11-17,1622
MX,Cancun,2024-11-11 / 2024-11-17,1246
MX,Tapachula,2024-11-11 / 2024-11-17,5
MX,Oaxaca,2024-11-11 / 2024-11-17,986
MX,Cuernavaca,2024-11-11 / 2024-11-17,1046
MX,Tlaxcala,2024-11-11 / 2024-11-17,49
MX,Campeche,2024-11-11 / 2024-11-17,23
MX,Morelia,2024-11-11 / 2024-11-17,963
MX,Pachuca,2024-11-11 / 2024-11-17,227
MX,Xalapa,2024-11-11 / 2024-11-17,61
MX,San Cristobal de las Casas,2024-11-11 / 2024-11-17,27
MX,Comitan de Dominguez,2024-11-11 / 2024-11-17,0
MX,Cordoba,2024-11-11 / 2024-11-17,117
MX,Veracruz,2024-11-11 / 2024-11-17,503
MX,Merida,2024-11-11 / 2024-11-17,871
MX,Puebla,2024-11-11 / 2024-11-17,2520
MX,Los Cabos,2024-11-11 / 2024-11-17,187
MX,Colima,2024-11-11 / 2024-11-17,121
MX,Manzanillo,2024-11-11 / 2024-11-17,132
MX,La Paz,2024-11-11 / 2024-11-17,138
MX,Puerto Vallarta,2024-11-11 / 2024-11-17,116
MX,Nogales(SON),2024-11-11 / 2024-11-17,0
MX,Ensenada,2024-11-11 / 2024-11-17,661
MX,Navojoa,2024-11-11 / 2024-11-17,31
MX,Guaymas,2024-11-11 / 2024-11-17,0
MX,Ciudad Obregon,2024-11-11 / 2024-11-17,636
MX,Tepic,2024-11-11 / 2024-11-17,657
MX,Mazatlan,2024-11-11 / 2024-11-17,605
MX,Culiacan,2024-11-11 / 2024-11-17,2194
MX,Tijuana,2024-11-11 / 2024-11-17,1805
MX,Mexicali,2024-11-11 / 2024-11-17,3940
MX,Hermosillo,2024-11-11 / 2024-11-17,1270
MX,Los Mochis-Guasave,2024-11-11 / 2024-11-17,390
MX,Guadalajara,2024-11-11 / 2024-11-17,8734
MX,Delicias,2024-11-11 / 2024-11-17,49
MX,San Miguel de Allende,2024-11-11 / 2024-11-17,0
MX,Valles City,2024-11-11 / 2024-11-17,-
MX,Irapuato,2024-11-11 / 2024-11-17,113
MX,Salamanca,2024-11-11 / 2024-11-17,33
MX,Celaya,2024-11-11 / 2024-11-17,240
MX,Nuevo Laredo,2024-11-11 / 2024-11-17,48
MX,Matamoros,2024-11-11 / 2024-11-17,272
MX,Reynosa,2024-11-11 / 2024-11-17,0
MX,Piedras Negras,2024-11-11 / 2024-11-17,-
MX,Monclova,2024-11-11 / 2024-11-17,0
MX,Torreon,2024-11-11 / 2024-11-17,978
MX,Chihuahua,2024-11-11 / 2024-11-17,3151
MX,Durango,2024-11-11 / 2024-11-17,1649
MX,Victoria,2024-11-11 / 2024-11-17,185
MX,Jaurez CHIH,2024-11-11 / 2024-11-17,3685
MX,Saltillo,2024-11-11 / 2024-11-17,732
MX,Monterrey,2024-11-11 / 2024-11-17,7971
MX,Aguascalientes,2024-11-11 / 2024-11-17,590
MX,Zacatecas,2024-11-11 / 2024-11-17,214
MX,Tampico,2024-11-11 / 2024-11-17,950
MX,Leon,2024-11-11 / 2024-11-17,881
MX,San Juan del Río,2024-11-11 / 2024-11-17,131
MX,San Luis Potosi,2024-11-11 / 2024-11-17,647
MX,Queretaro,2024-11-11 / 2024-11-17,1360
MX,Mexico City,2024-11-11 / 2024-11-17,14244
MX,Toluca,2024-11-11 / 2024-11-17,1080
CO,Santa marta,2024-11-11 / 2024-11-17,-
CO,Valledupar,2024-11-11 / 2024-11-17,0
CO,Villavicencio,2024-11-11 / 2024-11-17,0
CO,Cúcuta,2024-11-11 / 2024-11-17,4
CO,Barranquilla,2024-11-11 / 2024-11-17,912
CO,Ibagué,2024-11-11 / 2024-11-17,0
CO,Cartagena,2024-11-11 / 2024-11-17,61
CO,Medellín,2024-11-11 / 2024-11-17,6285
CO,Manizales,2024-11-11 / 2024-11-17,0
CO,Bucaramanga,2024-11-11 / 2024-11-17,383
CO,Cali,2024-11-11 / 2024-11-17,1863
CO,Pereira,2024-11-11 / 2024-11-17,0
CO,"Bogotá, D.C.",2024-11-11 / 2024-11-17,8956
CR,Liberia,2024-11-11 / 2024-11-17,-
CR,Limon,2024-11-11 / 2024-11-17,-
CR,San Jose,2024-11-11 / 2024-11-17,2328
PE,Trujillo,2024-11-11 / 2024-11-17,-
PE,Arequipa,2024-11-11 / 2024-11-17,-
PE,Lima,2024-11-11 / 2024-11-17,1661
MX,Poza Rica de Hidalgo,2024-11-04 / 2024-11-10,19
MX,Las Choapas,2024-11-04 / 2024-11-10,9
MX,Acapulco,2024-11-04 / 2024-11-10,39
MX,Chilpancingo de los Bravo,2024-11-04 / 2024-11-10,-
MX,Tehuacan,2024-11-04 / 2024-11-10,58
MX,Uruapan,2024-11-04 / 2024-11-10,0
MX,Coatzacoalcos,2024-11-04 / 2024-11-10,53
MX,Zamora,2024-11-04 / 2024-11-10,-
MX,Solidaridad,2024-11-04 / 2024-11-10,47
MX,Tuxtla Gutierrez,2024-11-04 / 2024-11-10,327
MX,Villahermosa,2024-11-04 / 2024-11-10,1576
MX,Chetumal,2024-11-04 / 2024-11-10,7
MX,Carmen,2024-11-04 / 2024-11-10,12
MX,Cancun,2024-11-04 / 2024-11-10,1208
MX,Tapachula,2024-11-04 / 2024-11-10,3
MX,Oaxaca,2024-11-04 / 2024-11-10,933
MX,Cuernavaca,2024-11-04 / 2024-11-10,1032
MX,Tlaxcala,2024-11-04 / 2024-11-10,50
MX,Campeche,2024-11-04 / 2024-11-10,28
MX,Morelia,2024-11-04 / 2024-11-10,933
MX,Pachuca,2024-11-04 / 2024-11-10,220
MX,Xalapa,2024-11-04 / 2024-11-10,61
MX,San Cristobal de las Casas,2024-11-04 / 2024-11-10,21
MX,Comitan de Dominguez,2024-11-04 / 2024-11-10,0
MX,Cordoba,2024-11-04 / 2024-11-10,100
MX,Veracruz,2024-11-04 / 2024-11-10,476
MX,Merida,2024-11-04 / 2024-11-10,818
MX,Puebla,2024-11-04 / 2024-11-10,2339
MX,Los Cabos,2024-11-04 / 2024-11-10,165
MX,Manzanillo,2024-11-04 / 2024-11-10,153
MX,Colima,2024-11-04 / 2024-11-10,122
MX,La Paz,2024-11-04 / 2024-11-10,138
MX,Puerto Vallarta,2024-11-04 / 2024-11-10,107
MX,Nogales(SON),2024-11-04 / 2024-11-10,0
MX,Ensenada,2024-11-04 / 2024-11-10,637
MX,Guaymas,2024-11-04 / 2024-11-10,0
MX,Navojoa,2024-11-04 / 2024-11-10,34
MX,Ciudad Obregon,2024-11-04 / 2024-11-10,583
MX,Tepic,2024-11-04 / 2024-11-10,636
MX,Mazatlan,2024-11-04 / 2024-11-10,570
MX,Culiacan,2024-11-04 / 2024-11-10,2124
MX,Tijuana,2024-11-04 / 2024-11-10,1849
MX,Mexicali,2024-11-04 / 2024-11-10,3699
MX,Hermosillo,2024-11-04 / 2024-11-10,1270
MX,Los Mochis-Guasave,2024-11-04 / 2024-11-10,389
MX,Guadalajara,2024-11-04 / 2024-11-10,8563
MX,Delicias,2024-11-04 / 2024-11-10,45
MX,San Miguel de Allende,2024-11-04 / 2024-11-10,0
MX,Irapuato,2024-11-04 / 2024-11-10,111
MX,Valles City,2024-11-04 / 2024-11-10,-
MX,Salamanca,2024-11-04 / 2024-11-10,33
MX,Celaya,2024-11-04 / 2024-11-10,232
MX,Piedras Negras,2024-11-04 / 2024-11-10,-
MX,Nuevo Laredo,2024-11-04 / 2024-11-10,50
MX,Reynosa,2024-11-04 / 2024-11-10,0
MX,Matamoros,2024-11-04 / 2024-11-10,264
MX,Monclova,2024-11-04 / 2024-11-10,0
MX,Torreon,2024-11-04 / 2024-11-10,943
MX,Chihuahua,2024-11-04 / 2024-11-10,3014
MX,Durango,2024-11-04 / 2024-11-10,1525
MX,Victoria,2024-11-04 / 2024-11-10,170
MX,Jaurez CHIH,2024-11-04 / 2024-11-10,3588
MX,Saltillo,2024-11-04 / 2024-11-10,700
MX,Monterrey,2024-11-04 / 2024-11-10,7632
MX,Aguascalientes,2024-11-04 / 2024-11-10,586
MX,Zacatecas,2024-11-04 / 2024-11-10,189
MX,Tampico,2024-11-04 / 2024-11-10,904
MX,Leon,2024-11-04 / 2024-11-10,852
MX,San Juan del Río,2024-11-04 / 2024-11-10,123
MX,Queretaro,2024-11-04 / 2024-11-10,1348
MX,San Luis Potosi,2024-11-04 / 2024-11-10,657
MX,Mexico City,2024-11-04 / 2024-11-10,14197
MX,Toluca,2024-11-04 / 2024-11-10,1005
CO,Villavicencio,2024-11-04 / 2024-11-10,0
CO,Santa marta,2024-11-04 / 2024-11-10,-
CO,Valledupar,2024-11-04 / 2024-11-10,0
CO,Cúcuta,2024-11-04 / 2024-11-10,4
CO,Barranquilla,2024-11-04 / 2024-11-10,872
CO,Bucaramanga,2024-11-04 / 2024-11-10,372
CO,Manizales,2024-11-04 / 2024-11-10,0
CO,Medellín,2024-11-04 / 2024-11-10,6152
CO,Cartagena,2024-11-04 / 2024-11-10,54
CO,Ibagué,2024-11-04 / 2024-11-10,0
CO,Cali,2024-11-04 / 2024-11-10,1789
CO,"Bogotá, D.C.",2024-11-04 / 2024-11-10,8886
CO,Pereira,2024-11-04 / 2024-11-10,0
CR,Liberia,2024-11-04 / 2024-11-10,-
CR,Limon,2024-11-04 / 2024-11-10,-
CR,San Jose,2024-11-04 / 2024-11-10,2100
PE,Arequipa,2024-11-04 / 2024-11-10,-
PE,Trujillo,2024-11-04 / 2024-11-10,-
PE,Lima,2024-11-04 / 2024-11-10,1501
MX,Poza Rica de Hidalgo,2024-10-28 / 2024-11-03,14
MX,Las Choapas,2024-10-28 / 2024-11-03,8
MX,Acapulco,2024-10-28 / 2024-11-03,44
MX,Chilpancingo de los Bravo,2024-10-28 / 2024-11-03,-
MX,Tehuacan,2024-10-28 / 2024-11-03,71
MX,Coatzacoalcos,2024-10-28 / 2024-11-03,50
MX,Uruapan,2024-10-28 / 2024-11-03,0
MX,Zamora,2024-10-28 / 2024-11-03,-
MX,Solidaridad,2024-10-28 / 2024-11-03,57
MX,Carmen,2024-10-28 / 2024-11-03,11
MX,Tuxtla Gutierrez,2024-10-28 / 2024-11-03,350
MX,Chetumal,2024-10-28 / 2024-11-03,9
MX,Villahermosa,2024-10-28 / 2024-11-03,1588
MX,Cancun,2024-10-28 / 2024-11-03,1240
MX,Tapachula,2024-10-28 / 2024-11-03,11
MX,Oaxaca,2024-10-28 / 2024-11-03,977
MX,Cuernavaca,2024-10-28 / 2024-11-03,1079
MX,Campeche,2024-10-28 / 2024-11-03,31
MX,Tlaxcala,2024-10-28 / 2024-11-03,69
MX,Pachuca,2024-10-28 / 2024-11-03,209
MX,Morelia,2024-10-28 / 2024-11-03,996
MX,Comitan de Dominguez,2024-10-28 / 2024-11-03,0
MX,Cordoba,2024-10-28 / 2024-11-03,104
MX,Xalapa,2024-10-28 / 2024-11-03,63
MX,San Cristobal de las Casas,2024-10-28 / 2024-11-03,21
MX,Veracruz,2024-10-28 / 2024-11-03,482
MX,Merida,2024-10-28 / 2024-11-03,777
MX,Puebla,2024-10-28 / 2024-11-03,2323
MX,Los Cabos,2024-10-28 / 2024-11-03,189
MX,Manzanillo,2024-10-28 / 2024-11-03,157
MX,Colima,2024-10-28 / 2024-11-03,120
MX,La Paz,2024-10-28 / 2024-11-03,141
MX,Puerto Vallarta,2024-10-28 / 2024-11-03,108
MX,Nogales(SON),2024-10-28 / 2024-11-03,0
MX,Ensenada,2024-10-28 / 2024-11-03,667
MX,Navojoa,2024-10-28 / 2024-11-03,38
MX,Guaymas,2024-10-28 / 2024-11-03,0
MX,Ciudad Obregon,2024-10-28 / 2024-11-03,637
MX,Tepic,2024-10-28 / 2024-11-03,693
MX,Mazatlan,2024-10-28 / 2024-11-03,604
MX,Culiacan,2024-10-28 / 2024-11-03,2306
MX,Tijuana,2024-10-28 / 2024-11-03,1877
MX,Mexicali,2024-10-28 / 2024-11-03,3719
MX,Los Mochis-Guasave,2024-10-28 / 2024-11-03,428
MX,Hermosillo,2024-10-28 / 2024-11-03,1336
MX,Guadalajara,2024-10-28 / 2024-11-03,8987
MX,Delicias,2024-10-28 / 2024-11-03,52
MX,San Miguel de Allende,2024-10-28 / 2024-11-03,0
MX,Valles City,2024-10-28 / 2024-11-03,-
MX,Irapuato,2024-10-28 / 2024-11-03,118
MX,Salamanca,2024-10-28 / 2024-11-03,36
MX,Celaya,2024-10-28 / 2024-11-03,254
MX,Matamoros,2024-10-28 / 2024-11-03,275
MX,Piedras Negras,2024-10-28 / 2024-11-03,0
MX,Reynosa,2024-10-28 / 2024-11-03,0
MX,Nuevo Laredo,2024-10-28 / 2024-11-03,52
MX,Monclova,2024-10-28 / 2024-11-03,0
MX,Torreon,2024-10-28 / 2024-11-03,913
MX,Durango,2024-10-28 / 2024-11-03,1583
MX,Chihuahua,2024-10-28 / 2024-11-03,3081
MX,Jaurez CHIH,2024-10-28 / 2024-11-03,3485
MX,Victoria,2024-10-28 / 2024-11-03,186
MX,Saltillo,2024-10-28 / 2024-11-03,672
MX,Monterrey,2024-10-28 / 2024-11-03,7555
MX,Aguascalientes,2024-10-28 / 2024-11-03,620
MX,Zacatecas,2024-10-28 / 2024-11-03,188
MX,Tampico,2024-10-28 / 2024-11-03,949
MX,Leon,2024-10-28 / 2024-11-03,872
MX,San Juan del Río,2024-10-28 / 2024-11-03,141
MX,Queretaro,2024-10-28 / 2024-11-03,1411
MX,San Luis Potosi,2024-10-28 / 2024-11-03,722
MX,Mexico City,2024-10-28 / 2024-11-03,14214
MX,Toluca,2024-10-28 / 2024-11-03,1023
CO,Valledupar,2024-10-28 / 2024-11-03,0
CO,Villavicencio,2024-10-28 / 2024-11-03,0
CO,Santa marta,2024-10-28 / 2024-11-03,-
CO,Cúcuta,2024-10-28 / 2024-11-03,5
CO,Barranquilla,2024-10-28 / 2024-11-03,985
CO,Medellín,2024-10-28 / 2024-11-03,5816
CO,Bucaramanga,2024-10-28 / 2024-11-03,377
CO,Cartagena,2024-10-28 / 2024-11-03,57
CO,Manizales,2024-10-28 / 2024-11-03,0
CO,Ibagué,2024-10-28 / 2024-11-03,0
CO,Cali,2024-10-28 / 2024-11-03,1673
CO,"Bogotá, D.C.",2024-10-28 / 2024-11-03,8529
CO,Pereira,2024-10-28 / 2024-11-03,0
CR,Liberia,2024-10-28 / 2024-11-03,-
CR,Limon,2024-10-28 / 2024-11-03,-
CR,San Jose,2024-10-28 / 2024-11-03,2267
PE,Arequipa,2024-10-28 / 2024-11-03,-
PE,Trujillo,2024-10-28 / 2024-11-03,-
PE,Lima,2024-10-28 / 2024-11-03,1572
MX,Poza Rica de Hidalgo,2024-10-21 / 2024-10-27,14
MX,Las Choapas,2024-10-21 / 2024-10-27,10
MX,Acapulco,2024-10-21 / 2024-10-27,42
MX,Chilpancingo de los Bravo,2024-10-21 / 2024-10-27,-
MX,Tehuacan,2024-10-21 / 2024-10-27,63
MX,Uruapan,2024-10-21 / 2024-10-27,0
MX,Coatzacoalcos,2024-10-21 / 2024-10-27,47
MX,Zamora,2024-10-21 / 2024-10-27,-
MX,Solidaridad,2024-10-21 / 2024-10-27,47
MX,Villahermosa,2024-10-21 / 2024-10-27,1525
MX,Tuxtla Gutierrez,2024-10-21 / 2024-10-27,307
MX,Carmen,2024-10-21 / 2024-10-27,7
MX,Chetumal,2024-10-21 / 2024-10-27,8
MX,Cancun,2024-10-21 / 2024-10-27,1139
MX,Tapachula,2024-10-21 / 2024-10-27,26
MX,Oaxaca,2024-10-21 / 2024-10-27,926
MX,Cuernavaca,2024-10-21 / 2024-10-27,964
MX,Tlaxcala,2024-10-21 / 2024-10-27,68
MX,Campeche,2024-10-21 / 2024-10-27,23
MX,Pachuca,2024-10-21 / 2024-10-27,210
MX,Morelia,2024-10-21 / 2024-10-27,917
MX,Cordoba,2024-10-21 / 2024-10-27,103
MX,Xalapa,2024-10-21 / 2024-10-27,57
MX,Comitan de Dominguez,2024-10-21 / 2024-10-27,0
MX,San Cristobal de las Casas,2024-10-21 / 2024-10-27,20
MX,Veracruz,2024-10-21 / 2024-10-27,401
MX,Merida,2024-10-21 / 2024-10-27,797
MX,Puebla,2024-10-21 / 2024-10-27,2231
MX,Los Cabos,2024-10-21 / 2024-10-27,181
MX,Manzanillo,2024-10-21 / 2024-10-27,154
MX,Colima,2024-10-21 / 2024-10-27,111
MX,La Paz,2024-10-21 / 2024-10-27,128
MX,Puerto Vallarta,2024-10-21 / 2024-10-27,106
MX,Nogales(SON),2024-10-21 / 2024-10-27,0
