Country,city_name,stat_date(周),Daily Orders
PE,Lima,2024-11-25 / 2024-12-01,2374
MX,Las Choapas,2024-11-18 / 2024-11-24,84
MX,Zamora,2024-11-18 / 2024-11-24,-
MX,Comitan de Dominguez,2024-11-18 / 2024-11-24,-
MX,Orizaba,2024-11-18 / 2024-11-24,0
MX,Apizaco,2024-11-18 / 2024-11-24,-
MX,Tulancingo,2024-11-18 / 2024-11-24,-
MX,Minatitlan,2024-11-18 / 2024-11-24,-
MX,Chilpancingo de los Bravo,2024-11-18 / 2024-11-24,0
MX,Uruapan,2024-11-18 / 2024-11-24,0
MX,La Piedad,2024-11-18 / 2024-11-24,-
MX,Abejones,2024-11-18 / 2024-11-24,-
MX,Carmen,2024-11-18 / 2024-11-24,211
MX,Cordoba,2024-11-18 / 2024-11-24,524
MX,Tehuacan,2024-11-18 / 2024-11-24,257
MX,Chetumal,2024-11-18 / 2024-11-24,222
MX,San Cristobal de las Casas,2024-11-18 / 2024-11-24,262
MX,Coatzacoalcos,2024-11-18 / 2024-11-24,251
MX,Villahermosa,2024-11-18 / 2024-11-24,1598
MX,Solidaridad,2024-11-18 / 2024-11-24,223
MX,Veracruz,2024-11-18 / 2024-11-24,1276
MX,Cuernavaca,2024-11-18 / 2024-11-24,2015
MX,Tapachula,2024-11-18 / 2024-11-24,262
MX,Acapulco,2024-11-18 / 2024-11-24,320
MX,Tuxtla Gutierrez,2024-11-18 / 2024-11-24,2363
MX,Tlaxcala,2024-11-18 / 2024-11-24,499
MX,Xalapa,2024-11-18 / 2024-11-24,338
MX,Puebla,2024-11-18 / 2024-11-24,3463
MX,Cancun,2024-11-18 / 2024-11-24,1932
MX,Poza Rica de Hidalgo,2024-11-18 / 2024-11-24,152
MX,Pachuca,2024-11-18 / 2024-11-24,454
MX,Campeche,2024-11-18 / 2024-11-24,510
MX,Merida,2024-11-18 / 2024-11-24,1369
MX,Morelia,2024-11-18 / 2024-11-24,2417
MX,Oaxaca,2024-11-18 / 2024-11-24,1654
MX,Guaymas,2024-11-18 / 2024-11-24,0
MX,Navojoa,2024-11-18 / 2024-11-24,285
MX,Nogales(SON),2024-11-18 / 2024-11-24,0
MX,Ensenada,2024-11-18 / 2024-11-24,2565
MX,Hermosillo,2024-11-18 / 2024-11-24,1863
MX,Los Mochis-Guasave,2024-11-18 / 2024-11-24,924
MX,Colima,2024-11-18 / 2024-11-24,1357
MX,Mazatlan,2024-11-18 / 2024-11-24,908
MX,Tijuana,2024-11-18 / 2024-11-24,3374
MX,Los Cabos,2024-11-18 / 2024-11-24,780
MX,Puerto Vallarta,2024-11-18 / 2024-11-24,769
MX,La Paz,2024-11-18 / 2024-11-24,1108
MX,Mexicali,2024-11-18 / 2024-11-24,4641
