Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Manzanillo,2024-09-02 / 2024-09-08,8.0
MX,Leon,2024-09-02 / 2024-09-08,40.0
MX,Cancun,2024-09-02 / 2024-09-08,60.0
MX,Cordoba,2024-09-02 / 2024-09-08,7.0
MX,Acapulco,2024-09-02 / 2024-09-08,3.0
MX,Tijuana,2024-09-02 / 2024-09-08,129.0
MX,Victoria,2024-09-02 / 2024-09-08,13.0
MX,Solidaridad,2024-09-02 / 2024-09-08,3.0
MX,Toluca,2024-09-02 / 2024-09-08,50.0
MX,Tepic,2024-09-02 / 2024-09-08,27.0
MX,Delicias,2024-09-02 / 2024-09-08,2.0
MX,Cuernavaca,2024-09-02 / 2024-09-08,56.0
MX,Saltillo,2024-09-02 / 2024-09-08,38.0
MX,Salamanca,2024-09-02 / 2024-09-08,1.0
MX,Puebla,2024-09-02 / 2024-09-08,118.0
MX,Zacatecas,2024-09-02 / 2024-09-08,11.0
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,150.0
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,3.0
MX,Navojoa,2024-09-02 / 2024-09-08,3.0
MX,Xalapa,2024-09-02 / 2024-09-08,1.0
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,4.0
MX,Los Cabos,2024-09-02 / 2024-09-08,12.0
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,41.0
MX,Mazatlan,2024-09-02 / 2024-09-08,21.0
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,12.0
MX,Tapachula,2024-09-02 / 2024-09-08,1.0
MX,Oaxaca,2024-09-02 / 2024-09-08,49.0
MX,La Paz,2024-09-02 / 2024-09-08,8.0
MX,Veracruz,2024-09-02 / 2024-09-08,21.0
MX,Mexico City,2024-09-02 / 2024-09-08,653.0
MX,Mexicali,2024-09-02 / 2024-09-08,148.0
MX,Colima,2024-09-02 / 2024-09-08,7.0
MX,Tlaxcala,2024-09-02 / 2024-09-08,3.0
MX,Aguascalientes,2024-09-02 / 2024-09-08,30.0
CO,Bucaramanga,2024-09-02 / 2024-09-08,15.0
CO,Medellín,2024-09-02 / 2024-09-08,254.0
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,402.0
CO,Cartagena,2024-09-02 / 2024-09-08,4.0
CO,Barranquilla,2024-09-02 / 2024-09-08,55.0
CO,Cali,2024-09-02 / 2024-09-08,68.0
CR,San Jose,2024-09-02 / 2024-09-08,91.0
PE,Lima,2024-09-02 / 2024-09-08,65.0
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,2.0
MX,Campeche,2024-08-26 / 2024-09-01,1.0
MX,Veracruz,2024-08-26 / 2024-09-01,20.0
