Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,Salamanca,2024-09-09 / 2024-09-15,22797,1575,6.91%,14.86%,1.03%,2.16%,1.36%
MX,Celaya,2024-09-09 / 2024-09-15,123566,8209,6.64%,18.88%,1.25%,1.24%,2.38%
MX,Matamoros,2024-09-09 / 2024-09-15,251201,15249,6.07%,14.89%,0.90%,1.49%,1.63%
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
MX,Reynosa,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,59825,2975,4.97%,14.79%,0.74%,1.17%,2.42%
MX,Torreon,2024-09-09 / 2024-09-15,417630,26825,6.42%,22.19%,1.43%,0.79%,0.92%
MX,Monclova,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
MX,Durango,2024-09-09 / 2024-09-15,663759,44715,6.74%,22.40%,1.51%,0.99%,1.45%
MX,Chihuahua,2024-09-09 / 2024-09-15,1167314,86140,7.38%,22.67%,1.67%,0.93%,1.23%
MX,San Juan del Río,2024-09-09 / 2024-09-15,53599,4633,8.64%,17.35%,1.50%,2.28%,1.12%
MX,Victoria,2024-09-09 / 2024-09-15,128120,7972,6.22%,16.66%,1.04%,0.69%,1.58%
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,1491595,105855,7.10%,23.02%,1.63%,1.02%,1.16%
MX,Saltillo,2024-09-09 / 2024-09-15,478972,28046,5.86%,17.54%,1.03%,1.63%,2.27%
MX,Monterrey,2024-09-09 / 2024-09-15,3643842,253206,6.95%,19.09%,1.33%,1.24%,1.22%
MX,Aguascalientes,2024-09-09 / 2024-09-15,334986,21730,6.49%,18.85%,1.22%,1.22%,1.30%
MX,Zacatecas,2024-09-09 / 2024-09-15,89039,6462,7.26%,21.77%,1.58%,1.74%,1.22%
MX,Tampico,2024-09-09 / 2024-09-15,461499,31260,6.77%,18.25%,1.24%,0.68%,0.97%
MX,Leon,2024-09-09 / 2024-09-15,393083,27243,6.93%,20.31%,1.41%,1.06%,1.59%
MX,Queretaro,2024-09-09 / 2024-09-15,710739,47449,6.68%,19.05%,1.27%,1.18%,2.12%
MX,San Luis Potosi,2024-09-09 / 2024-09-15,295733,20912,7.07%,20.73%,1.47%,0.84%,1.98%
MX,Mexico City,2024-09-09 / 2024-09-15,7673636,477891,6.23%,18.50%,1.15%,1.02%,2.12%
MX,Toluca,2024-09-09 / 2024-09-15,639047,40630,6.36%,16.52%,1.05%,1.90%,2.14%
CO,Santa marta,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
CO,Valledupar,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
CO,Cúcuta,2024-09-09 / 2024-09-15,20191,670,3.32%,4.33%,0.14%,0.00%,0.00%
CO,Barranquilla,2024-09-09 / 2024-09-15,823929,59473,7.22%,10.97%,0.79%,1.00%,1.59%
CO,Ibagué,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
CO,Bucaramanga,2024-09-09 / 2024-09-15,217624,17403,8.00%,15.01%,1.20%,0.85%,1.46%
CO,Medellín,2024-09-09 / 2024-09-15,3391262,228708,6.74%,15.73%,1.06%,0.76%,1.81%
CO,Manizales,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
CO,Cartagena,2024-09-09 / 2024-09-15,125226,7724,6.17%,9.55%,0.59%,1.04%,3.95%
CO,Cali,2024-09-09 / 2024-09-15,1294834,79467,6.14%,12.77%,0.78%,1.00%,1.75%
CO,Pereira,2024-09-09 / 2024-09-15,0,0,-,-,-,-,-
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,4785137,277362,5.80%,18.29%,1.06%,0.95%,2.29%
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
CR,San Jose,2024-09-09 / 2024-09-15,1348065,88324,6.55%,18.56%,1.22%,1.07%,2.22%
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-
PE,Lima,2024-09-09 / 2024-09-15,1395025,89344,6.40%,12.90%,0.83%,0.88%,1.94%
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,12967,750,5.78%,12.27%,0.71%,5.81%,2.56%
MX,Las Choapas,2024-09-02 / 2024-09-08,7408,494,6.67%,15.99%,1.07%,0.00%,1.56%
MX,Acapulco,2024-09-02 / 2024-09-08,47504,2757,5.80%,10.45%,0.61%,1.08%,1.11%
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
MX,Tehuacan,2024-09-02 / 2024-09-08,21195,1579,7.45%,24.89%,1.85%,0.51%,0.26%
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,33967,2677,7.88%,11.95%,0.94%,1.98%,1.43%
MX,Uruapan,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
MX,Zamora,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
MX,Solidaridad,2024-09-02 / 2024-09-08,30502,2247,7.37%,16.69%,1.23%,0.28%,4.01%
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,218520,11962,5.47%,15.08%,0.83%,1.36%,1.17%
MX,Carmen,2024-09-02 / 2024-09-08,10719,596,5.56%,9.40%,0.52%,1.92%,2.00%
MX,Villahermosa,2024-09-02 / 2024-09-08,780072,52606,6.74%,18.68%,1.26%,0.85%,0.98%
MX,Chetumal,2024-09-02 / 2024-09-08,5941,495,8.33%,9.29%,0.77%,8.33%,0.00%
MX,Cancun,2024-09-02 / 2024-09-08,624310,44210,7.08%,19.98%,1.41%,0.50%,1.73%
MX,Tapachula,2024-09-02 / 2024-09-08,13690,810,5.92%,20.12%,1.19%,0.62%,0.63%
MX,Oaxaca,2024-09-02 / 2024-09-08,372211,26386,7.09%,23.62%,1.67%,0.47%,1.17%
MX,Cuernavaca,2024-09-02 / 2024-09-08,506488,34858,6.88%,19.49%,1.34%,0.99%,2.02%
MX,Tlaxcala,2024-09-02 / 2024-09-08,39552,2693,6.81%,16.93%,1.15%,1.61%,1.18%
MX,Campeche,2024-09-02 / 2024-09-08,36201,1772,4.89%,12.87%,0.63%,3.64%,1.90%
MX,Pachuca,2024-09-02 / 2024-09-08,126550,8402,6.64%,19.42%,1.29%,0.76%,1.58%
MX,Morelia,2024-09-02 / 2024-09-08,434136,30456,7.02%,21.98%,1.54%,0.55%,1.73%
MX,Cordoba,2024-09-02 / 2024-09-08,64974,4603,7.08%,15.32%,1.09%,0.15%,0.90%
MX,Xalapa,2024-09-02 / 2024-09-08,74967,3763,5.02%,11.35%,0.57%,2.19%,0.51%
