Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,San Luis Potosi,2024-08-26 / 2024-09-01,301088,21098,7.01%,21.86%,1.53%,0.87%,1.44%
MX,Mexico City,2024-08-26 / 2024-09-01,7881684,493294,6.26%,17.68%,1.11%,0.87%,2.19%
MX,Toluca,2024-08-26 / 2024-09-01,676346,43868,6.49%,16.23%,1.05%,1.52%,2.13%
CO,Valledupar,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
CO,Santa marta,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
CO,Cúcuta,2024-08-26 / 2024-09-01,15775,528,3.35%,4.92%,0.16%,0.00%,9.09%
CO,Barranquilla,2024-08-26 / 2024-09-01,859096,61566,7.17%,10.74%,0.77%,1.20%,1.72%
CO,Bucaramanga,2024-08-26 / 2024-09-01,231592,18731,8.09%,13.91%,1.12%,0.57%,1.21%
CO,Manizales,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
CO,Ibagué,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
CO,Cartagena,2024-08-26 / 2024-09-01,168534,10332,6.13%,10.09%,0.62%,1.46%,3.12%
CO,Medellín,2024-08-26 / 2024-09-01,3597258,243890,6.78%,14.54%,0.99%,0.77%,2.04%
CO,Cali,2024-08-26 / 2024-09-01,1361206,82667,6.07%,11.59%,0.70%,0.99%,2.09%
CO,Pereira,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,5130121,297558,5.80%,17.94%,1.04%,0.81%,2.27%
CR,Liberia,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
CR,Limon,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
CR,San Jose,2024-08-26 / 2024-09-01,1437314,91852,6.39%,16.81%,1.07%,1.32%,2.27%
PE,Trujillo,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
PE,Arequipa,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
PE,Lima,2024-08-26 / 2024-09-01,1557708,97344,6.25%,11.88%,0.74%,0.88%,1.77%
