Country,city_name,stat_date(周),Daily Orders,Daily Orders WoW
MX,Tehuacan,2024-09-02 / 2024-09-08,54,36.56%
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,40,12.90%
MX,Uruapan,2024-09-02 / 2024-09-08,0,-
MX,Zamora,2024-09-02 / 2024-09-08,-,-
MX,Solidaridad,2024-09-02 / 2024-09-08,50,-10.97%
MX,Villahermosa,2024-09-02 / 2024-09-08,1350,-6.60%
MX,Carmen,2024-09-02 / 2024-09-08,7,-23.08%
MX,Chetumal,2024-09-02 / 2024-09-08,6,-15.38%
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,245,15.27%
MX,Cancun,2024-09-02 / 2024-09-08,1205,0.15%
MX,Tapachula,2024-09-02 / 2024-09-08,23,0.00%
MX,Oaxaca,2024-09-02 / 2024-09-08,869,-2.48%
MX,Cuernavaca,2024-09-02 / 2024-09-08,920,-3.09%
MX,Campeche,2024-09-02 / 2024-09-08,30,6.03%
MX,Tlaxcala,2024-09-02 / 2024-09-08,60,4.46%
MX,Morelia,2024-09-02 / 2024-09-08,926,2.19%
MX,Pachuca,2024-09-02 / 2024-09-08,217,5.26%
MX,Cordoba,2024-09-02 / 2024-09-08,95,4.06%
MX,Xalapa,2024-09-02 / 2024-09-08,56,-2.47%
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,0,-
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,22,4.70%
MX,Veracruz,2024-09-02 / 2024-09-08,431,2.66%
MX,Merida,2024-09-02 / 2024-09-08,693,3.30%
MX,Puebla,2024-09-02 / 2024-09-08,2047,1.48%
MX,Los Cabos,2024-09-02 / 2024-09-08,178,1.47%
MX,Colima,2024-09-02 / 2024-09-08,101,-9.01%
MX,Manzanillo,2024-09-02 / 2024-09-08,121,3.80%
MX,La Paz,2024-09-02 / 2024-09-08,130,-7.53%
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,100,-11.48%
MX,Nogales(SON),2024-09-02 / 2024-09-08,0,-
MX,Ensenada,2024-09-02 / 2024-09-08,644,1.67%
MX,Navojoa,2024-09-02 / 2024-09-08,26,2.25%
MX,Guaymas,2024-09-02 / 2024-09-08,0,-
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,563,-2.16%
MX,Tepic,2024-09-02 / 2024-09-08,586,3.24%
MX,Mazatlan,2024-09-02 / 2024-09-08,519,-6.51%
MX,Culiacan,2024-09-02 / 2024-09-08,2153,-1.64%
MX,Tijuana,2024-09-02 / 2024-09-08,1997,5.82%
MX,Mexicali,2024-09-02 / 2024-09-08,3679,4.06%
MX,Hermosillo,2024-09-02 / 2024-09-08,1198,5.19%
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,365,3.02%
MX,Guadalajara,2024-09-02 / 2024-09-08,7564,4.28%
MX,Delicias,2024-09-02 / 2024-09-08,36,-20.63%
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,0,-
MX,Irapuato,2024-09-02 / 2024-09-08,146,8.12%
MX,Valles City,2024-09-02 / 2024-09-08,-,-
MX,Salamanca,2024-09-02 / 2024-09-08,28,1.54%
MX,Celaya,2024-09-02 / 2024-09-08,232,-3.27%
MX,Reynosa,2024-09-02 / 2024-09-08,0,-
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,63,-2.67%
MX,Matamoros,2024-09-02 / 2024-09-08,315,2.13%
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-
MX,Torreon,2024-09-02 / 2024-09-08,760,-7.72%
MX,Monclova,2024-09-02 / 2024-09-08,0,-
MX,Durango,2024-09-02 / 2024-09-08,1337,-2.01%
MX,Chihuahua,2024-09-02 / 2024-09-08,2611,3.78%
MX,San Juan del Río,2024-09-02 / 2024-09-08,106,7.06%
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,3182,-0.22%
MX,Victoria,2024-09-02 / 2024-09-08,173,-4.12%
MX,Saltillo,2024-09-02 / 2024-09-08,602,-10.47%
