country_code, organization_type, city_id, city_name, daily_orders, daily_gmv, orders_cdmx, orders_gdl, orders_mty, orders_bog, orders_med, fo_2024, new_rs_daily_orders, rburn_gmv, b2c_gmv,p2c_gmv,ted_gmv,rburn_per_order,b2c_per_order,p2c_per_order,ted_per_order,traffic,shop_enter_uv,click_pay_uv,b_p1,b_p2,b_p1p2,b_cancel_order_rate,b_bad_rating_order_rate,imperfect_order_rate,overdue_order_rate,rs_five_plus
CR,Normal,506030100,Liberia,35,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52050200,Monclova,35,0.0,0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,39,1,0,0.02564102564102564,0.0,0.0,null,null,null,null,0
MX,Normal,52030300,Los Cabos,34,911.0,307368.64,0.0,0.0,0.0,0.0,0.0,0,73.0,0.107771,0.024551,0.044218,0.176541,36.361603,8.283589,14.919089,59.564281,75500,5339,949,0.07071523178807947,0.17774864206780297,0.01256953642384106,0.01814300960512273,0.01646542261251372,0.021953896816684963,0.12294182217343579,2
MX,Normal,52110800,San Miguel de Allende,34,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,7,0,0,0.0,null,0.0,null,null,null,null,0
CO,CKA,57380100,Bogot¨¢_ D.C.,35,7176.142857142858,362848342.4285714285718,0.0,0.0,0.0,7176.142857142858,0.0,10,923.8571428571428,0.256233,0.05506,0.086557,0.39785,12955.923138,2784.02576,4376.572552,20116.52145,5130121,297558,53390,0.058002140690248824,0.17942720410810664,0.010407161936336394,0.008060006555986194,0.0226743375868453,0.02239563633468039,0.16839548450036831,386
MX,CKA,52310300,Merida,37,763.5,208481.7966666666667,0.0,0.0,0.0,0.0,0.0,2,118.16666666666666,0.265041,0.030807,0.029804,0.325653,72.37239,8.412159,8.138385,88.922934,416325,29276,4905,0.07032006245120999,0.16754338024320262,0.011781660961988832,0.009261208166701748,0.012660991049989086,0.012879283999126828,0.18816852215673432,32
MX,CKA,52140500,Guadalajara,36,7567.25,1953185.2392857142849,0.0,7567.25,0.0,0.0,0.0,17,486.39285714285717,0.163795,0.029197,0.035244,0.228236,42.26668,7.534045,9.094515,58.89524,3720373,242909,54897,0.06529157157091507,0.22599821332268463,0.014755778520056995,0.008189296607819576,0.015959657009028065,0.018660522041325123,0.10960430635565209,404
CO,Normal,57390100,C¨²cuta,35,74.57142857142857,2996459.8571428571425,0.0,0.0,0.0,0.0,0.0,null,null,0.205042,0.066073,0.176199,0.447314,8239.074713,2654.95977,7080.109195,17974.143678,141765,8485,674,0.059852572919973195,0.07943429581614614,0.0047543469826826085,0.052969502407704656,0.02681992337164751,0.022988505747126436,0.18007662835249041,4
MX,Normal,52110200,Celaya,37,678.0,154213.5316666666668,0.0,0.0,0.0,0.0,0.0,2,49.33333333333333,0.118513,0.029135,0.03293,0.180578,26.956315,6.626883,7.48999,41.073188,357578,21320,4386,0.0596233549043845,0.20572232645403377,0.012265855281924504,0.012784751278475127,0.01327433628318584,0.012291052114060964,0.13225172074729596,32
PE,CKA,51541300,Lima,34,1932.0,115778.17,0.0,0.0,0.0,0.0,0.0,0,472.0,0.257834,0.048134,0.062615,0.368583,15.451113,2.884498,3.752293,22.087904,271188,17671,2095,0.06516143782173253,0.11855582592948899,0.007725268079708541,0.00842418235877106,0.022774327122153208,0.025362318840579712,0.2510351966873706,5
CO,Normal,57370100,Valledupar,37,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
CO,CKA,57260100,Santa marta,37,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,CKA,52250400,Los Mochis-Guasave,37,271.0,75248.0533333333332,0.0,0.0,0.0,0.0,0.0,0,17.5,0.125099,0.048992,0.043582,0.217673,34.736027,13.603555,12.101273,60.440855,190118,11930,1850,0.06275050231961203,0.1550712489522213,0.009730798767081496,0.008314855875831485,0.014760147601476014,0.010455104551045511,0.15313653136531366,13
PE,CKA,51311000,Arequipa,36,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,CKA,52120500,Chilpancingo de los Bravo,36,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,CKA,52301200,Cordoba,36,95.28571428571428,37753.9414285714285,0.0,0.0,0.0,0.0,0.0,null,null,0.148359,0.029845,0.023407,0.201612,58.782609,11.825262,9.274363,79.882234,64974,4603,705,0.0708437221042263,0.15316098196828157,0.010850494043771355,0.001483679525222552,0.008995502248875561,0.01199400299850075,0.2563718140929535,7
MX,CKA,52040200,Carmen,37,8.0,2053.77,0.0,0.0,0.0,0.0,0.0,null,null,0,0.021018,0.019777,0.040795,0,5.395833,5.077083,10.472917,8975,466,51,0.05192200557103064,0.10944206008583691,0.005682451253481894,0.0,0.0,0.0,0.2916666666666667,0
CR,CKA,506070100,San Jose,37,2110.1666666666665,18312909.4999999999998,0.0,0.0,0.0,0.0,0.0,1,26.833333333333332,0.231905,0.036556,0.041459,0.30992,2012.56599,317.246268,359.802148,2689.614406,1075753,70457,13406,0.06549551802318934,0.19027208084363512,0.012461968500204043,0.009923076923076923,0.021957191375088857,0.01998262380538662,0.19603506832003792,80
MX,CKA,52110400,Irapuato,36,146.42857142857142,42057.3042857142861,0.0,0.0,0.0,0.0,0.0,0,5.571428571428571,0.15004,0.031439,0.02291,0.20439,43.094722,9.030068,6.580107,58.704898,80175,5362,1091,0.06687870283754288,0.20346885490488623,0.013607733083879015,0.016885553470919325,0.016585365853658537,0.023414634146341463,0.15317073170731707,8
MX,CKA,52270100,Villahermosa,37,1510.1666666666667,419609.4183333333335,0.0,0.0,0.0,0.0,0.0,0,100.33333333333334,0.230716,0.046114,0.02995,0.30678,64.106017,12.813008,8.321819,85.240844,683743,46417,9344,0.06788661821766366,0.2013055561539953,0.013665953435720732,0.006292719973961159,0.01125703564727955,0.011919214214766582,0.1251517492550491,47
MX,Normal,52320100,Zacatecas,36,611.7142857142857,144783.6528571428577,0.0,0.0,0.0,0.0,0.0,1,46.14285714285714,0.130347,0.022828,0.026797,0.179972,30.851179,5.402994,6.342525,42.596698,425183,26038,4703,0.061239513338962284,0.180620631384899,0.011061119564987312,0.024374176548089592,0.014479215319943952,0.016581036898645492,0.13498365249883232,34
MX,Normal,52160800,Uruapan,34,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,CKA,52110500,Leon,36,773.7142857142856,228558.2314285714284,0.0,0.0,0.0,0.0,0.0,0,110.57142857142856,0.260629,0.040829,0.028975,0.330432,76.9907,12.060977,8.559348,97.611025,405815,29119,5653,0.07175437083400071,0.19413441395652323,0.013929992730677772,0.00806307113420534,0.015324963072378139,0.016802067946824224,0.1554652880354505,40
CO,Normal,57190100,Pereira,36,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,CKA,52230100,Cancun,34,1627.0,600648.32,0.0,0.0,0.0,0.0,0.0,0,42.0,0.261779,0.024991,0.03395,0.32072,96.64225,9.226159,12.533399,118.401807,116029,8359,1680,0.0720423342440252,0.20098097858595526,0.01447913883598066,0.0018181818181818182,0.019668100799016593,0.014751075599262446,0.1628764597418562,11
MX,CKA,52070800,San Cristobal de las Casas,37,17.833333333333336,4709.5750000000001,0.0,0.0,0.0,0.0,0.0,0,4.833333333333333,0.01406,0.019267,0.040054,0.073381,3.713178,5.088224,10.577757,19.379159,16107,745,116,0.04625318184640219,0.15570469798657718,0.007201837710312286,0.00909090909090909,0.018691588785046728,0.018691588785046728,0.12149532710280374,0
MX,CKA,52070800,San Cristobal de las Casas,34,37.0,9538.96,0.0,0.0,0.0,0.0,0.0,0,5.0,0,0.017717,0.048606,0.066323,0,4.567568,12.531081,17.098649,4371,217,39,0.04964539007092199,0.17972350230414746,0.008922443376801648,0.0,0.0,0.0,0.13513513513513514,0
MX,Normal,52080200,Chihuahua,37,1448.8333333333333,372773.7633333333333,0.0,0.0,0.0,0.0,0.0,7,176.83333333333334,0.139464,0.014509,0.050029,0.204002,35.883091,3.733092,12.871962,52.488146,969507,62572,9375,0.06454001879305668,0.1498273988365403,0.00966986313662511,0.025310883679982393,0.014494420798343495,0.013919245369837801,0.08904739990796134,67
CO,CKA,57240100,Bucaramanga,36,376.2857142857142,13660431.8571428571427,0.0,0.0,0.0,0.0,0.0,0,78.71428571428571,0.205189,0.025647,0.132614,0.363451,7449.061503,931.081625,4814.343964,13194.487092,235837,19804,2807,0.08397325271267868,0.141739042617653,0.011902288444985308,0.0040530582166543845,0.011009870918754746,0.012908124525436599,0.10782080485952923,14
CO,CKA,57070100,Cartagena,36,91.42857142857142,3588490.4285714285715,0.0,0.0,0.0,0.0,0.0,0,2.0,0.179402,0.029928,0.178662,0.387992,7041.36875,1174.64375,7012.325,15228.3375,153438,10247,882,0.06678267443527679,0.08607397287010833,0.005748250107535291,0.021712907117008445,0.0359375,0.0359375,0.275,3
MX,CKA,52030300,Los Cabos,34,216.0,76346.85,0.0,0.0,0.0,0.0,0.0,0,8.0,0.042147,0.033361,0.035601,0.111109,14.897083,11.791806,12.583333,39.272222,15947,1122,225,0.07035806107731862,0.20053475935828877,0.014109236847055872,0.013636363636363636,0.009259259259259259,0.027777777777777776,0.10185185185185185,1
MX,CKA,52290400,Tlaxcala,37,67.0,18312.2149999999999,0.0,0.0,0.0,0.0,0.0,0,4.5,0.193701,0.033114,0.035737,0.262552,52.941766,9.050572,9.767612,71.75995,34093,2233,427,0.06549731616460858,0.19122257053291536,0.01252456516000352,0.012077294685990338,0.024875621890547265,0.03233830845771144,0.0945273631840796,5
MX,Normal,52080400,Delicias,35,420.1428571428571,104623.2114285714287,0.0,0.0,0.0,0.0,0.0,3,26.285714285714285,0.085216,0.010837,0.042661,0.138714,21.220337,2.698596,10.623366,34.542299,221930,15174,3054,0.06837291037714595,0.20126532226176355,0.013761095841030956,0.0107095046854083,0.007820469228153689,0.007480448826929616,0.07412444746684801,27
MX,Normal,52020200,Tijuana,34,4054.0,1190973.77,0.0,0.0,0.0,0.0,0.0,1,388.0,0.127845,0.028773,0.033884,0.190502,37.557854,8.452953,9.954245,55.965052,365596,24680,4328,0.0675062090394862,0.1753646677471637,0.011838203919080078,0.012977649603460706,0.015540207202762703,0.018006906758756783,0.11250925240562547,14
MX,Normal,52170200,Cuernavaca,35,1746.1428571428569,396277.8942857142855,0.0,0.0,0.0,0.0,0.0,6,259.28571428571433,0.168684,0.043299,0.025424,0.237408,38.281986,9.826564,5.769868,53.878419,1308040,80294,13239,0.06138497293660744,0.16488156026602238,0.010121250114675392,0.020494972931167827,0.016853472960811584,0.016198969156508224,0.11651120929471445,103
PE,CKA,51311000,Arequipa,37,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PE,Normal,51311000,Arequipa,34,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52050400,Torreon,36,1597.8571428571427,371960.6114285714287,0.0,0.0,0.0,0.0,0.0,7,122.71428571428568,0.124923,0.019785,0.05358,0.198288,29.080557,4.605578,12.472808,46.158943,1358503,82585,12508,0.06079117970295244,0.15145607555851548,0.009207193506381656,0.020354346930366706,0.014036656236030398,0.014841305319624498,0.17096081588835213,94
MX,Normal,52260900,Guaymas,37,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,CKA,52300200,Coatzacoalcos,36,40.0,13472.0114285714288,0.0,0.0,0.0,0.0,0.0,null,null,0.092787,0.028269,0.024019,0.145075,31.25075,9.520857,8.089643,48.86125,33967,2677,320,0.07881178791179674,0.11953679491968622,0.009420908528866253,0.019801980198019802,0.014285714285714285,0.02142857142857143,0.15,3
PE,Normal,51411400,Trujillo,36,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,CKA,52160800,Uruapan,36,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,Normal,52200100,Oaxaca,35,1459.7428571428575,388370.2271428571423,0.0,0.0,0.0,0.0,0.0,5,199.3142857142857,0.208105,0.035006,0.02638,0.269491,55.370522,9.313967,7.01906,71.703549,1058316,67328,10732,0.06361804980742991,0.15939876425855512,0.01014063852384354,0.021935605347392206,0.016345306841538614,0.015366545952823725,0.11151360877227336,96
MX,CKA,52050200,Monclova,37,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,Normal,52140900,Puerto Vallarta,35,718.7142857142858,198569.7557142857136,0.0,0.0,0.0,0.0,0.0,1,86.28571428571428,0.166434,0.041846,0.030693,0.238974,45.98324,11.561431,8.480125,66.024796,447593,30744,5667,0.06868740127749987,0.18432864949258393,0.012661055914636735,0.01763541479215404,0.019280461140926256,0.017491552375273306,0.1349900596421471,42
MX,CKA,52071100,Tuxtla Gutierrez,35,212.42857142857144,61809.2757142857143,0.0,0.0,0.0,0.0,0.0,1,42.285714285714285,0.098853,0.064581,0.049896,0.21333,28.762677,18.790888,14.517902,62.071466,194167,10543,1562,0.05429861922983823,0.14815517404913212,0.008044621382624236,0.007217847769028871,0.016812373907195696,0.014122394082044385,0.14324142568930734,11
MX,Normal,52280200,Reynosa,37,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
CR,Normal,506070100,San Jose,36,2260.285714285714,18594575.9999999999995,0.0,0.0,0.0,0.0,0.0,0,182.85714285714283,0.185738,0.030952,0.048032,0.264722,1528.000695,254.630135,395.14404,2177.77487,2021262,119991,17199,0.05936439709448849,0.1433357501812636,0.008509040391596933,0.01857341641962611,0.02186828466691948,0.02073062823916066,0.1277026172714629,100
MX,Normal,52260100,Ciudad Obregon,36,1095.0476190476193,273750.1385714285712,0.0,0.0,0.0,0.0,0.0,4,132.9047619047619,0.191894,0.028464,0.038041,0.258399,47.968887,7.115347,9.509213,64.593447,700830,49022,8137,0.06994848964798882,0.16598669984904738,0.011610518956094915,0.019929806969165204,0.011873695198329854,0.01448329853862213,0.08992430174889063,64
CR,CKA,506030100,Liberia,34,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52050400,Torreon,35,1758.2142857142858,407022.6833333333325,0.0,0.0,0.0,0.0,0.0,8,148.7857142857143,0.125632,0.02287,0.054973,0.203475,29.084532,5.294586,12.726627,47.105745,1423160,88403,13722,0.06211740071390427,0.1552209766636879,0.009641923606621883,0.01853519435689629,0.014952055907687308,0.01722736876320494,0.15241424158673386,106
MX,CKA,52210400,Puebla,34,2570.0,721954.07,0.0,0.0,0.0,0.0,0.0,0,247.0,0.206113,0.057413,0.022969,0.286495,57.900393,16.128346,6.452362,80.481101,249686,16513,2756,0.06613506564244691,0.16689880700054502,0.011037863556627123,0.013983371126228269,0.021011673151750974,0.024124513618677044,0.16342412451361868,12
MX,Normal,52280300,Tampico,37,1444.8333333333335,362604.1183333333329,0.0,0.0,0.0,0.0,0.0,1,200.83333333333331,0.236318,0.045477,0.041689,0.323484,59.307906,11.413098,10.462478,81.183483,769345,49811,9046,0.06474468541421599,0.18160647246592118,0.011758053928991544,0.011710392973764215,0.01234283077632945,0.014419194832160573,0.15136132902630364,71
MX,Normal,52290400,Tlaxcala,36,408.3809523809524,104479.0585714285721,0.0,0.0,0.0,0.0,0.0,1,70.38095238095237,0.170396,0.040078,0.034409,0.244883,43.591805,10.253097,8.802705,62.647607,311907,20019,3071,0.06418259288826478,0.15340426594735002,0.009845883548621865,0.02042866711319491,0.016445066480055982,0.015745276417074877,0.13435969209237228,25
PE,CKA,51411400,Trujillo,37,null,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
MX,Normal,52050500,Saltillo,37,882.5,230875.5249999999998,0.0,0.0,0.0,0.0,0.0,1,125.0,0.112809,0.024329,0.043416,0.180554,29.512553,6.364848,11.358419,47.235821,594126,34981,5758,0.0588780831002178,0.16460364197707328,0.00969154691092462,0.019330588867012707,0.013597733711048159,0.015675165250236073,0.1201587001700359,48
MX,Normal,52302300,Las Choapas,37,88.66666666666667,24722.8866666666665,0.0,0.0,0.0,0.0,0.0,null,null,0.233587,0.067964,0.033829,0.33538,65.131053,18.950357,9.432444,93.513853,60366,3474,557,0.05754895139648146,0.16033390903857225,0.009227048338468675,0.01090909090909091,0.009398496240601503,0.013157894736842105,0.2781954887218045,6
MX,Normal,52250300,Mazatlan,36,947.4285714285713,245056.357142857143,0.0,0.0,0.0,0.0,0.0,3,138.0,0.113423,0.020812,0.031913,0.166147,29.337416,5.382992,8.254334,42.974741,834837,48280,7090,0.05783164857331431,0.14685169842584922,0.008492675815758046,0.020905923344947737,0.009047044632086852,0.012364294330518697,0.15012070006035003,60
MX,Normal,52080400,Delicias,36,435.8571428571429,109171.0914285714286,0.0,0.0,0.0,0.0,0.0,0,27.142857142857142,0.091998,0.011031,0.038571,0.1416,23.04311,2.76295,9.661101,35.467162,215321,15223,3129,0.0706990957686431,0.20554424226499377,0.014531792068585972,0.0064808813998703824,0.007210750573582432,0.007866273352999017,0.07931825630940675,28
MX,Normal,52230200,Solidaridad,36,211.99999999999997,63694.1328571428572,0.0,0.0,0.0,0.0,0.0,1,21.0,0.118097,0.011402,0.052591,0.18209,35.481685,3.425627,15.800647,54.707958,186455,10693,1628,0.05734895819366603,0.1522491349480969,0.008731329275160226,0.021491782553729456,0.018867924528301886,0.022911051212938006,0.1631827376938638,11
MX,CKA,52140900,Puerto Vallarta,36,100.28571428571429,28191.3114285714287,0.0,0.0,0.0,0.0,0.0,0,1.0,0.031352,0.029896,0.020072,0.08132,8.813248,8.404131,5.642436,22.859815,47127,3498,771,0.0742249665796677,0.22041166380789023,0.016360048379909606,0.013175230566534914,0.01566951566951567,0.008547008547008548,0.16951566951566951,4
MX,CKA,52080800,Jaurez CHIH,36,3182.142857142857,1079389.9357142857139,0.0,0.0,0.0,0.0,0.0,0,310.42857142857144,0.160299,0.03452,0.037243,0.232062,54.37393,11.709286,12.632887,78.716104,1502718,108013,23543,0.07187842296425544,0.21796450427263386,0.015666944829302636,0.008858483532868482,0.01207631874298541,0.013737373737373737,0.13092084586719346,148
MX,CKA,52050200,Monclova,34,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
CO,CKA,57070100,Cartagena,35,100.57142857142858,4038965.7142857142858,0.0,0.0,0.0,0.0,0.0,0,1.4285714285714286,0.198487,0.071932,0.196044,0.466463,7971.285511,2888.801136,7873.144886,18733.231534,168534,10332,1042,0.061305137242336855,0.10085172280294231,0.006182728707560492,0.014553014553014554,0.03125,0.032670454545454544,0.16193181818181818,5
MX,CKA,52120200,Acapulco,34,62.0,17414.31,0.0,0.0,0.0,0.0,0.0,0,8.0,0.046142,0.026571,0.043239,0.115952,12.960161,7.463226,12.144839,32.568226,9734,554,65,0.05691391000616396,0.11732851985559567,0.006677624820217793,0.0,0.016129032258064516,0.03225806451612903,0.2903225806451613,0
CO,Normal,57390100,C¨²cuta,37,88.33333333333334,3159423.3333333333335,0.0,0.0,0.0,0.0,0.0,null,null,0.20719,0.059732,0.166157,0.433079,7410.583019,2136.443396,5942.932075,15489.958491,136900,7650,626,0.05588020452885318,0.08183006535947712,0.004572680788897005,0.039723661485319514,0.022641509433962263,0.02830188679245283,0.24339622641509434,1
MX,CKA,52020100,Mexicali,35,3535.8571428571427,1087734.1271428571422,0.0,0.0,0.0,0.0,0.0,3,292.2857142857143,0.158625,0.039618,0.033793,0.232036,48.797871,12.187612,10.395788,71.38127,1491903,110407,25353,0.07400414101989204,0.2296321791190776,0.016993732166233327,0.006418689949368098,0.010949052563532787,0.013494404266494283,0.09514767080117975,142
MX,CKA,52280200,Reynosa,34,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,Normal,52110500,Leon,37,1642.9999999999998,375969.2533333333322,0.0,0.0,0.0,0.0,0.0,11,267.16666666666663,0.191819,0.030815,0.047189,0.269824,43.894217,7.051534,10.79824,61.743991,1086312,66494,11017,0.06121077554146507,0.16568412187565795,0.010141653594915642,0.02063106796116505,0.01683911543923717,0.016636234530330696,0.09182224025974026,76
CO,Normal,57190100,Pereira,34,0.0,null,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,null,0,0,0,null,null,null,null,null,null,null,0
MX,CKA,52050400,Torreon,36,760.1428571428571,185237.57,0.0,0.0,0.0,0.0,0.0,0,9.0,0.153929,0.031868,0.043487,0.229284,37.510624,7.765768,10.597316,55.873708,455692,29058,5895,0.06376675473784925,0.2028701218253149,0.012936369302072452,0.012928022361984625,0.010900206728058635,0.01240368351813569,0.10373989851531668,46
MX,Normal,52040100,Campeche,37,475.6666666666666,105592.0716666666666,0.0,0.0,0.0,0.0,0.0,0,32.666666666666664,0.136254,0.039444,0.053105,0.228803,30.246748,8.756023,11.788648,50.791419,282878,19281,2989,0.06816012556649863,0.15502307971578239,0.010566392579133053,0.026617250673854446,0.010861948142957253,0.009810791871058164,0.13945339873861248,18
MX,CKA,52250100,Culiacan,34,2816.0,854402.18,0.0,0.0,0.0,0.0,0.0,0,261.0,0.158405,0.051808,0.037813,0.248026,48.061499,15.719073,11.47283,75.253402,207087,14167,2890,0.06841086113565796,0.2039952001129385,0.013955487307266994,0.006713780918727915,0.014204545454545454,0.01740056818181818,0.16086647727272727,19
