Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Queretaro,SME,2024-12-02 / 2024-12-08,145.0
MX,Irapuato,SME,2024-12-02 / 2024-12-08,37.0
MX,Chetumal,SME,2024-12-02 / 2024-12-08,13.0
MX,Veracruz,SME,2024-12-02 / 2024-12-08,71.0
MX,Puebla,SME,2024-12-02 / 2024-12-08,213.0
MX,Merida,SME,2024-12-02 / 2024-12-08,92.0
MX,Zacatecas,SME,2024-12-02 / 2024-12-08,36.0
MX,Tampico,SME,2024-12-02 / 2024-12-08,80.0
MX,Xalapa,SME,2024-12-02 / 2024-12-08,20.0
MX,San Cristobal de las Casas,SME,2024-12-02 / 2024-12-08,15.0
MX,Coatzacoalcos,SME,2024-12-02 / 2024-12-08,17.0
MX,Matamoros,SME,2024-12-02 / 2024-12-08,80.0
MX,Mazatlan,SME,2024-12-02 / 2024-12-08,63.0
MX,Culiacan,SME,2024-12-02 / 2024-12-08,120.0
MX,Colima,SME,2024-12-02 / 2024-12-08,72.0
MX,Los Mochis-Guasave,SME,2024-12-02 / 2024-12-08,53.0
MX,Tuxtla Gutierrez,SME,2024-12-02 / 2024-12-08,124.0
MX,Salamanca,SME,2024-12-02 / 2024-12-08,12.0
MX,Saltillo,SME,2024-12-02 / 2024-12-08,67.0
MX,Morelia,SME,2024-12-02 / 2024-12-08,136.0
MX,Nuevo Laredo,SME,2024-12-02 / 2024-12-08,41.0
MX,Durango,SME,2024-12-02 / 2024-12-08,164.0
MX,Pachuca,SME,2024-12-02 / 2024-12-08,22.0
MX,Los Cabos,SME,2024-12-02 / 2024-12-08,45.0
MX,Campeche,SME,2024-12-02 / 2024-12-08,30.0
MX,Solidaridad,SME,2024-12-02 / 2024-12-08,15.0
MX,Torreon,SME,2024-12-02 / 2024-12-08,119.0
MX,La Paz,SME,2024-12-02 / 2024-12-08,79.0
MX,Chihuahua,SME,2024-12-02 / 2024-12-08,116.0
MX,Tepic,SME,2024-12-02 / 2024-12-08,113.0
MX,Cancun,SME,2024-12-02 / 2024-12-08,121.0
MX,Aguascalientes,SME,2024-12-02 / 2024-12-08,131.0
MX,Delicias,SME,2024-12-02 / 2024-12-08,27.0
MX,Hermosillo,SME,2024-12-02 / 2024-12-08,123.0
MX,Navojoa,SME,2024-12-02 / 2024-12-08,20.0
MX,Guadalajara,SME,2024-12-02 / 2024-12-08,790.0
MX,Oaxaca,SME,2024-12-02 / 2024-12-08,107.0
MX,Celaya,SME,2024-12-02 / 2024-12-08,44.0
MX,Villahermosa,SME,2024-12-02 / 2024-12-08,100.0
MX,Cordoba,SME,2024-12-02 / 2024-12-08,29.0
CO,Barranquilla,CKA,2024-12-02 / 2024-12-08,61.0
CO,Cartagena,CKA,2024-12-02 / 2024-12-08,6.0
CO,Cali,CKA,2024-12-02 / 2024-12-08,117.0
CO,Medellín,CKA,2024-12-02 / 2024-12-08,319.0
CO,Bucaramanga,CKA,2024-12-02 / 2024-12-08,12.0
CO,"Bogotá, D.C.",CKA,2024-12-02 / 2024-12-08,468.0
CO,"Bogotá, D.C.",SME,2024-12-02 / 2024-12-08,453.0
CO,Cúcuta,SME,2024-12-02 / 2024-12-08,8.0
CO,Medellín,SME,2024-12-02 / 2024-12-08,373.0
CO,Bucaramanga,SME,2024-12-02 / 2024-12-08,34.0
CO,Barranquilla,SME,2024-12-02 / 2024-12-08,120.0
CO,Cartagena,SME,2024-12-02 / 2024-12-08,12.0
CO,Cali,SME,2024-12-02 / 2024-12-08,195.0
CR,San Jose,CKA,2024-12-02 / 2024-12-08,116.0
CR,San Jose,SME,2024-12-02 / 2024-12-08,138.0
PE,Lima,CKA,2024-12-02 / 2024-12-08,72.0
PE,Lima,SME,2024-12-02 / 2024-12-08,120.0
MX,Chetumal,CKA,2024-11-25 / 2024-12-01,1.0
MX,Poza Rica de Hidalgo,CKA,2024-11-25 / 2024-12-01,1.0
MX,Torreon,CKA,2024-11-25 / 2024-12-01,52.0
MX,San Luis Potosi,CKA,2024-11-25 / 2024-12-01,36.0
MX,Tijuana,CKA,2024-11-25 / 2024-12-01,127.0
MX,Matamoros,CKA,2024-11-25 / 2024-12-01,24.0
MX,Ensenada,CKA,2024-11-25 / 2024-12-01,35.0
MX,Mazatlan,CKA,2024-11-25 / 2024-12-01,34.0
MX,Villahermosa,CKA,2024-11-25 / 2024-12-01,61.0
