organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,MX,Manzanillo,2024-12-02 / 2024-12-08,600,11.41%,0.011000000000000000,0.163800000000000000,311110,22533,1.40%,1.45%,285.4319000000000,238.6656000000000
Normal,MX,Chihuahua,2024-12-02 / 2024-12-08,1812,16.09%,0.022400000000000000,0.218700000000000000,1337840,94342,1.03%,2.19%,280.9425000000000,219.5075000000000
Normal,MX,Monclova,2024-12-02 / 2024-12-08,0,-,-,-,19,3,0.00%,-,-,-
Normal,MX,Tehuacan,2024-12-02 / 2024-12-08,270,16.53%,0.026700000000000000,0.226400000000000000,217759,13785,0.92%,1.23%,245.6335000000000,190.0238000000000
Normal,MX,Mexicali,2024-12-02 / 2024-12-08,5109,14.93%,0.028300000000000000,0.211400000000000000,2649837,200695,1.42%,1.18%,287.8866000000000,227.0266000000000
Normal,MX,Irapuato,2024-12-02 / 2024-12-08,569,13.21%,0.022300000000000000,0.190400000000000000,454916,28629,1.01%,1.80%,250.4866000000000,202.7983000000000
Normal,MX,Chilpancingo de los Bravo,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,MX,Tapachula,2024-12-02 / 2024-12-08,266,17.76%,0.020100000000000000,0.238700000000000000,182412,12547,1.09%,2.10%,282.3289000000000,214.9311000000000
Normal,MX,Ciudad Obregon,2024-12-02 / 2024-12-08,1253,21.00%,0.020400000000000000,0.258800000000000000,699213,50757,1.32%,1.62%,246.6128000000000,182.7826000000000
Normal,MX,Celaya,2024-12-02 / 2024-12-08,800,12.01%,0.018200000000000000,0.171500000000000000,448254,30541,1.30%,1.71%,240.2956000000000,199.0852000000000
Normal,MX,Las Choapas,2024-12-02 / 2024-12-08,93,24.03%,0.049300000000000000,0.330000000000000000,70059,4527,0.99%,2.34%,282.3296000000000,189.1660000000000
Normal,MX,Orizaba,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,MX,Tijuana,2024-12-02 / 2024-12-08,3321,13.95%,0.022500000000000000,0.206100000000000000,2024442,146383,1.27%,1.61%,286.9779000000000,227.8251000000000
Normal,MX,Oaxaca,2024-12-02 / 2024-12-08,1714,23.23%,0.021700000000000000,0.274600000000000000,1006642,71480,1.23%,1.51%,275.5127000000000,199.8563000000000
Normal,MX,Nogales(SON),2024-12-02 / 2024-12-08,0,-,-,-,12,0,0.00%,-,-,-
Normal,MX,Cuernavaca,2024-12-02 / 2024-12-08,1985,18.43%,0.031200000000000000,0.243700000000000000,1313333,90014,1.13%,1.34%,243.3123000000000,184.0181000000000
Normal,MX,Tlaxcala,2024-12-02 / 2024-12-08,533,17.24%,0.035500000000000000,0.242200000000000000,354399,24203,1.12%,1.40%,260.7985000000000,197.6265000000000
Normal,MX,Puerto Vallarta,2024-12-02 / 2024-12-08,779,16.10%,0.020100000000000000,0.212200000000000000,411188,30709,1.44%,1.41%,277.1572000000000,218.3494000000000
Normal,MX,San Cristobal de las Casas,2024-12-02 / 2024-12-08,246,13.47%,0.014500000000000000,0.186600000000000000,165052,10381,1.08%,1.59%,253.5484000000000,206.2486000000000
Normal,MX,Guanajuato,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Victoria,2024-12-02 / 2024-12-08,707,16.26%,0.022900000000000000,0.245000000000000000,630725,42468,0.87%,1.89%,270.6644000000000,204.3445000000000
Normal,MX,Morelia,2024-12-02 / 2024-12-08,2417,17.77%,0.033900000000000000,0.252900000000000000,1343169,96864,1.30%,1.06%,224.2083000000000,167.5117000000000
Normal,MX,Navojoa,2024-12-02 / 2024-12-08,295,10.91%,0.032600000000000000,0.193900000000000000,196977,14887,1.12%,1.39%,238.7281000000000,192.4469000000000
Normal,MX,Colima,2024-12-02 / 2024-12-08,1350,14.52%,0.025700000000000000,0.216100000000000000,687714,49347,1.42%,0.86%,228.6518000000000,179.2288000000000
Normal,MX,Hermosillo,2024-12-02 / 2024-12-08,1893,20.19%,0.031400000000000000,0.255800000000000000,1335399,93210,1.07%,1.80%,274.5638000000000,204.3429000000000
Normal,MX,Piedras Negras,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,La Piedad,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Guaymas,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,MX,Campeche,2024-12-02 / 2024-12-08,514,14.41%,0.033100000000000000,0.216600000000000000,308087,22390,1.22%,1.49%,226.2785000000000,177.2707000000000
Normal,MX,Uruapan,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,MX,Zamora,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Torreon,2024-12-02 / 2024-12-08,1802,12.88%,0.020000000000000000,0.191500000000000000,1315613,88657,1.07%,1.59%,230.8497000000000,186.6321000000000
Normal,MX,Guadalajara,2024-12-02 / 2024-12-08,13161,19.71%,0.028200000000000000,0.258000000000000000,7970011,531020,1.22%,1.43%,245.2833000000000,181.9952000000000
Normal,MX,Minatitlan,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,Valles City,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,MX,San Miguel de Allende,2024-12-02 / 2024-12-08,0,-,-,-,5,0,0.00%,-,-,-
Normal,MX,Nuevo Laredo,2024-12-02 / 2024-12-08,610,12.24%,0.009600000000000000,0.182200000000000000,486118,36549,1.00%,1.36%,315.3742000000000,257.9123000000000
Normal,MX,Durango,2024-12-02 / 2024-12-08,2598,13.83%,0.021700000000000000,0.184500000000000000,1878202,123065,1.09%,2.00%,229.0419000000000,186.7876000000000
