Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Ensenada,CKA,2024-12-09 / 2024-12-15,38.0
MX,Coatzacoalcos,CKA,2024-12-09 / 2024-12-15,4.0
MX,Tuxtla Gutierrez,CKA,2024-12-09 / 2024-12-15,15.0
MX,Culiacan,CKA,2024-12-09 / 2024-12-15,125.0
MX,Guadalajara,CKA,2024-12-09 / 2024-12-15,482.0
MX,La Paz,CKA,2024-12-09 / 2024-12-15,9.0
MX,Oaxaca,CKA,2024-12-09 / 2024-12-15,53.0
MX,Delicias,CKA,2024-12-09 / 2024-12-15,3.0
MX,Mexicali,CKA,2024-12-09 / 2024-12-15,164.0
MX,Colima,CKA,2024-12-09 / 2024-12-15,10.0
MX,Veracruz,CKA,2024-12-09 / 2024-12-15,22.0
MX,Cancun,CKA,2024-12-09 / 2024-12-15,58.0
MX,Los Mochis-Guasave,CKA,2024-12-09 / 2024-12-15,22.0
MX,Puebla,CKA,2024-12-09 / 2024-12-15,144.0
MX,Mexico City,CKA,2024-12-09 / 2024-12-15,789.0
MX,San Cristobal de las Casas,CKA,2024-12-09 / 2024-12-15,4.0
MX,Jaurez CHIH,CKA,2024-12-09 / 2024-12-15,167.0
MX,Chihuahua,CKA,2024-12-09 / 2024-12-15,163.0
MX,Toluca,CKA,2024-12-09 / 2024-12-15,55.0
MX,San Luis Potosi,CKA,2024-12-09 / 2024-12-15,37.0
MX,Durango,CKA,2024-12-09 / 2024-12-15,96.0
MX,Irapuato,CKA,2024-12-09 / 2024-12-15,7.0
MX,Aguascalientes,CKA,2024-12-09 / 2024-12-15,42.0
MX,Manzanillo,CKA,2024-12-09 / 2024-12-15,9.0
MX,Cuernavaca,CKA,2024-12-09 / 2024-12-15,63.0
MX,Los Cabos,CKA,2024-12-09 / 2024-12-15,13.0
MX,Pachuca,SME,2024-12-09 / 2024-12-15,21.0
MX,Merida,SME,2024-12-09 / 2024-12-15,83.0
MX,Victoria,SME,2024-12-09 / 2024-12-15,45.0
MX,Manzanillo,SME,2024-12-09 / 2024-12-15,38.0
MX,Tampico,SME,2024-12-09 / 2024-12-15,89.0
MX,Queretaro,SME,2024-12-09 / 2024-12-15,147.0
MX,San Cristobal de las Casas,SME,2024-12-09 / 2024-12-15,16.0
MX,Salamanca,SME,2024-12-09 / 2024-12-15,18.0
