Country,city_name,stat_date(周),Daily Orders
MX,Cordoba,2024-09-02 / 2024-09-08,472
MX,Las Choapas,2024-09-02 / 2024-09-08,85
MX,Carmen,2024-09-02 / 2024-09-08,223
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,0
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,-
MX,Apizaco,2024-09-02 / 2024-09-08,-
MX,La Piedad,2024-09-02 / 2024-09-08,-
MX,Tulancingo,2024-09-02 / 2024-09-08,-
MX,Minatitlan,2024-09-02 / 2024-09-08,-
MX,Uruapan,2024-09-02 / 2024-09-08,0
MX,Zamora,2024-09-02 / 2024-09-08,-
MX,Orizaba,2024-09-02 / 2024-09-08,0
MX,Abejones,2024-09-02 / 2024-09-08,-
MX,Veracruz,2024-09-02 / 2024-09-08,1049
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,1980
MX,Tapachula,2024-09-02 / 2024-09-08,202
MX,Cancun,2024-09-02 / 2024-09-08,1738
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,221
MX,Merida,2024-09-02 / 2024-09-08,1232
MX,Xalapa,2024-09-02 / 2024-09-08,315
MX,Tlaxcala,2024-09-02 / 2024-09-08,408
MX,Solidaridad,2024-09-02 / 2024-09-08,212
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,191
MX,Tehuacan,2024-09-02 / 2024-09-08,241
MX,Morelia,2024-09-02 / 2024-09-08,2157
MX,Pachuca,2024-09-02 / 2024-09-08,460
MX,Cuernavaca,2024-09-02 / 2024-09-08,1711
MX,Campeche,2024-09-02 / 2024-09-08,444
MX,Acapulco,2024-09-02 / 2024-09-08,283
MX,Oaxaca,2024-09-02 / 2024-09-08,1431
MX,Villahermosa,2024-09-02 / 2024-09-08,1515
MX,Chetumal,2024-09-02 / 2024-09-08,235
MX,Puebla,2024-09-02 / 2024-09-08,3309
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,134
MX,Navojoa,2024-09-02 / 2024-09-08,277
MX,Guaymas,2024-09-02 / 2024-09-08,0
MX,Los Cabos,2024-09-02 / 2024-09-08,699
MX,Manzanillo,2024-09-02 / 2024-09-08,496
MX,Hermosillo,2024-09-02 / 2024-09-08,1714
MX,Guadalajara,2024-09-02 / 2024-09-08,12534
MX,Mazatlan,2024-09-02 / 2024-09-08,947
MX,La Paz,2024-09-02 / 2024-09-08,1047
MX,Ensenada,2024-09-02 / 2024-09-08,2408
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,901
MX,Mexicali,2024-09-02 / 2024-09-08,4610
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,695
MX,Nogales(SON),2024-09-02 / 2024-09-08,0
MX,Colima,2024-09-02 / 2024-09-08,1066
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,1095
MX,Tepic,2024-09-02 / 2024-09-08,1541
MX,Tijuana,2024-09-02 / 2024-09-08,3487
MX,Culiacan,2024-09-02 / 2024-09-08,2108
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,0
MX,Guanajuato,2024-09-02 / 2024-09-08,-
MX,Valles City,2024-09-02 / 2024-09-08,-
MX,Piedras Negras,2024-09-02 / 2024-09-08,-
MX,Torreon,2024-09-02 / 2024-09-08,1598
MX,San Juan del Río,2024-09-02 / 2024-09-08,431
MX,Salamanca,2024-09-02 / 2024-09-08,146
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,3743
MX,Saltillo,2024-09-02 / 2024-09-08,830
MX,Chihuahua,2024-09-02 / 2024-09-08,1524
MX,Queretaro,2024-09-02 / 2024-09-08,2049
MX,Aguascalientes,2024-09-02 / 2024-09-08,1430
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,581
MX,Matamoros,2024-09-02 / 2024-09-08,1308
MX,Celaya,2024-09-02 / 2024-09-08,678
MX,Leon,2024-09-02 / 2024-09-08,1793
MX,Irapuato,2024-09-02 / 2024-09-08,493
MX,Tampico,2024-09-02 / 2024-09-08,1360
MX,Victoria,2024-09-02 / 2024-09-08,761
MX,Zacatecas,2024-09-02 / 2024-09-08,612
MX,Monclova,2024-09-02 / 2024-09-08,0
MX,Durango,2024-09-02 / 2024-09-08,2456
MX,San Luis Potosi,2024-09-02 / 2024-09-08,1943
MX,Delicias,2024-09-02 / 2024-09-08,436
MX,Reynosa,2024-09-02 / 2024-09-08,0
MX,Monterrey,2024-09-02 / 2024-09-08,9286
MX,Mexico City,2024-09-02 / 2024-09-08,19463
MX,Toluca,2024-09-02 / 2024-09-08,1818
CO,Ibagué,2024-09-02 / 2024-09-08,0
CO,Valledupar,2024-09-02 / 2024-09-08,0
CO,Santa marta,2024-09-02 / 2024-09-08,0
