Country Code,city_name,Stat Date(周),5 + order store count(week total)
MX,Los Cabos,2024-09-02 / 2024-09-08,44.0
MX,Celaya,2024-09-02 / 2024-09-08,35.0
MX,Salamanca,2024-09-02 / 2024-09-08,7.0
MX,Cancun,2024-09-02 / 2024-09-08,115.0
MX,Cordoba,2024-09-02 / 2024-09-08,29.0
MX,Tapachula,2024-09-02 / 2024-09-08,17.0
MX,Victoria,2024-09-02 / 2024-09-08,49.0
MX,Mexico City,2024-09-02 / 2024-09-08,1110.0
MX,Delicias,2024-09-02 / 2024-09-08,29.0
MX,Saltillo,2024-09-02 / 2024-09-08,55.0
MX,Tijuana,2024-09-02 / 2024-09-08,216.0
MX,Leon,2024-09-02 / 2024-09-08,99.0
MX,Queretaro,2024-09-02 / 2024-09-08,130.0
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,101.0
MX,Merida,2024-09-02 / 2024-09-08,75.0
MX,Acapulco,2024-09-02 / 2024-09-08,20.0
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,234.0
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,58.0
MX,Torreon,2024-09-02 / 2024-09-08,101.0
MX,Toluca,2024-09-02 / 2024-09-08,100.0
MX,Culiacan,2024-09-02 / 2024-09-08,150.0
MX,La Paz,2024-09-02 / 2024-09-08,74.0
MX,Chihuahua,2024-09-02 / 2024-09-08,92.0
MX,Villahermosa,2024-09-02 / 2024-09-08,92.0
MX,Tepic,2024-09-02 / 2024-09-08,97.0
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,36.0
MX,Monterrey,2024-09-02 / 2024-09-08,560.0
MX,Hermosillo,2024-09-02 / 2024-09-08,111.0
MX,Xalapa,2024-09-02 / 2024-09-08,17.0
MX,San Juan del Río,2024-09-02 / 2024-09-08,30.0
MX,Colima,2024-09-02 / 2024-09-08,61.0
MX,Tlaxcala,2024-09-02 / 2024-09-08,25.0
MX,Chetumal,2024-09-02 / 2024-09-08,17.0
MX,Navojoa,2024-09-02 / 2024-09-08,19.0
MX,Las Choapas,2024-09-02 / 2024-09-08,7.0
MX,Morelia,2024-09-02 / 2024-09-08,125.0
MX,Solidaridad,2024-09-02 / 2024-09-08,12.0
MX,San Luis Potosi,2024-09-02 / 2024-09-08,126.0
MX,Irapuato,2024-09-02 / 2024-09-08,27.0
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,13.0
MX,Pachuca,2024-09-02 / 2024-09-08,22.0
CO,Bucaramanga,2024-09-02 / 2024-09-08,30.0
CO,Medellín,2024-09-02 / 2024-09-08,326.0
CO,Cúcuta,2024-09-02 / 2024-09-08,6.0
CO,Barranquilla,2024-09-02 / 2024-09-08,95.0
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,360.0
CO,Cali,2024-09-02 / 2024-09-08,179.0
CO,Cartagena,2024-09-02 / 2024-09-08,16.0
CR,San Jose,2024-09-02 / 2024-09-08,102.0
PE,Lima,2024-09-02 / 2024-09-08,116.0
MX,Victoria,2024-08-26 / 2024-09-01,49.0
MX,Xalapa,2024-08-26 / 2024-09-01,16.0
MX,Cuernavaca,2024-08-26 / 2024-09-01,104.0
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,43.0
MX,San Juan del Río,2024-08-26 / 2024-09-01,27.0
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,10.0
MX,Acapulco,2024-08-26 / 2024-09-01,18.0
MX,Monterrey,2024-08-26 / 2024-09-01,600.0
MX,Morelia,2024-08-26 / 2024-09-01,130.0
MX,Veracruz,2024-08-26 / 2024-09-01,65.0
MX,Pachuca,2024-08-26 / 2024-09-01,21.0
