Country,city_name,stat_date(周),Daily Traffic,Daily Traffic WoW,Traffic,Traffic WoW,Exposure UV per Eff Online Rs,Shop Enter UV,Shop Enter UV WoW,B P1,B P1 WoW,B P2,B P2 WoW,B P1*P2,B P1*P2 WoW,B Cancel Rate,B Cancel Rate WoW,B Bad Rating Rate,B Bad Rating Rate WoW,Average Rating,Average Position
MX,Chihuahua,2024-09-02 / 2024-09-08,168201,-9.76%,1177406,-9.76%,328,78718,-8.49%,6.69%,0.09PP,14.44%,0.81PP,0.97%,0.07PP,2.60%,-0.00PP,1.51%,-0.21PP,4.44,32.2
MX,Salamanca,2024-09-02 / 2024-09-08,14954,-5.79%,104677,-5.79%,287,6481,5.79%,6.19%,0.68PP,16.93%,-1.36PP,1.05%,0.04PP,2.97%,0.07PP,1.37%,0.52PP,4.49,12.3
MX,Monclova,2024-09-02 / 2024-09-08,3,-38.46%,24,-38.46%,-,1,0.00%,4.17%,1.60PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Torreon,2024-09-02 / 2024-09-08,194072,-4.54%,1358503,-4.54%,439,82585,-6.58%,6.08%,-0.13PP,15.15%,-0.38PP,0.92%,-0.04PP,2.04%,0.18PP,1.40%,-0.09PP,4.59,21.2
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,65197,-10.30%,456376,-10.30%,757,30671,-7.04%,6.72%,0.24PP,14.25%,0.32PP,0.96%,0.05PP,0.97%,-0.25PP,1.40%,0.02PP,4.53,15.2
MX,Victoria,2024-09-02 / 2024-09-08,94443,-5.51%,661103,-5.51%,556,42923,-2.19%,6.49%,0.22PP,13.49%,0.59PP,0.88%,0.07PP,1.68%,-0.21PP,1.35%,-0.13PP,4.42,23.8
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,348908,-8.34%,2442356,-8.34%,597,162022,-4.82%,6.63%,0.25PP,17.28%,1.14PP,1.15%,0.12PP,1.42%,-0.16PP,1.44%,-0.29PP,4.48,26.4
MX,Leon,2024-09-02 / 2024-09-08,188972,-3.95%,1322802,-3.95%,264,83040,-1.81%,6.28%,0.14PP,16.18%,-0.10PP,1.02%,0.02PP,1.76%,-0.31PP,1.67%,-0.03PP,4.52,27.8
MX,Matamoros,2024-09-02 / 2024-09-08,133859,-4.20%,937011,-4.20%,684,60216,-4.50%,6.43%,-0.02PP,16.12%,0.12PP,1.04%,0.00PP,1.53%,0.37PP,1.54%,0.08PP,4.43,22.8
MX,Saltillo,2024-09-02 / 2024-09-08,109349,-10.40%,765440,-10.40%,546,44113,-4.46%,5.76%,0.36PP,14.49%,-0.60PP,0.83%,0.02PP,2.11%,0.00PP,1.45%,-0.35PP,4.50,17.4
MX,Queretaro,2024-09-02 / 2024-09-08,200492,-5.96%,1403447,-5.96%,313,88192,-3.10%,6.28%,0.19PP,17.26%,-0.22PP,1.08%,0.02PP,1.44%,0.08PP,1.55%,0.15PP,4.56,28.9
MX,Irapuato,2024-09-02 / 2024-09-08,54835,-8.53%,383847,-8.53%,292,22564,-4.65%,5.88%,0.24PP,16.49%,0.73PP,0.97%,0.08PP,2.69%,0.04PP,1.33%,0.17PP,4.49,23.2
MX,San Juan del Río,2024-09-02 / 2024-09-08,39203,-4.87%,274421,-4.87%,400,18033,-1.59%,6.57%,0.22PP,17.89%,-0.82PP,1.18%,-0.01PP,1.99%,0.28PP,1.59%,0.18PP,4.45,17.3
MX,Delicias,2024-09-02 / 2024-09-08,30760,-2.98%,215321,-2.98%,416,15223,0.32%,7.07%,0.23PP,20.55%,0.43PP,1.45%,0.08PP,0.65%,-0.42PP,0.72%,-0.06PP,4.65,19.1
MX,Durango,2024-09-02 / 2024-09-08,221675,1.53%,1551724,1.53%,472,100407,2.24%,6.47%,0.05PP,18.02%,-0.76PP,1.17%,-0.04PP,1.48%,-0.33PP,1.59%,0.00PP,4.50,33.2
MX,Tampico,2024-09-02 / 2024-09-08,132451,-6.88%,927155,-6.88%,575,59760,-4.81%,6.45%,0.14PP,16.69%,-0.48PP,1.08%,-0.01PP,1.15%,-0.30PP,1.13%,-0.02PP,4.50,25.8
MX,Aguascalientes,2024-09-02 / 2024-09-08,135900,-9.43%,951298,-9.43%,351,62259,-3.85%,6.54%,0.38PP,17.26%,0.33PP,1.13%,0.09PP,1.82%,-0.12PP,1.60%,0.20PP,4.52,24.4
MX,Celaya,2024-09-02 / 2024-09-08,62762,-9.39%,439337,-9.39%,411,26181,-6.59%,5.96%,0.18PP,19.52%,0.61PP,1.16%,0.07PP,1.31%,-0.61PP,1.24%,0.25PP,4.45,20.3
MX,Reynosa,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Monterrey,2024-09-02 / 2024-09-08,933108,-8.89%,6531757,-8.89%,478,432818,-5.57%,6.63%,0.23PP,16.20%,-0.00PP,1.07%,0.04PP,1.85%,-0.07PP,1.16%,-0.15PP,4.47,31.1
MX,Mexico City,2024-09-02 / 2024-09-08,2243845,-10.18%,15706916,-10.18%,383,956411,-7.24%,6.09%,0.19PP,15.20%,0.85PP,0.93%,0.08PP,1.93%,-0.02PP,2.13%,-0.14PP,4.45,42.0
MX,Toluca,2024-09-02 / 2024-09-08,193950,-10.82%,1357649,-10.82%,310,82046,-6.46%,6.04%,0.28PP,16.53%,0.92PP,1.00%,0.10PP,1.89%,-0.05PP,2.07%,0.09PP,4.33,27.2
CO,Valledupar,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Ibagué,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Santa marta,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Barranquilla,2024-09-02 / 2024-09-08,233346,2.20%,1633423,2.20%,724,123339,2.76%,7.55%,0.04PP,11.93%,0.04PP,0.90%,0.01PP,1.46%,0.21PP,2.26%,-0.12PP,4.35,36.3
CO,Cartagena,2024-09-02 / 2024-09-08,79246,-9.80%,554724,-9.80%,2025,31654,-0.81%,5.71%,0.52PP,7.80%,0.35PP,0.45%,0.06PP,3.22%,0.22PP,2.72%,-0.64PP,4.59,10.2
CO,Cali,2024-09-02 / 2024-09-08,409265,-2.27%,2864852,-2.27%,552,193498,-2.57%,6.75%,-0.02PP,13.28%,0.23PP,0.90%,0.01PP,1.54%,-0.07PP,2.42%,-0.40PP,4.38,38.8
CO,Bucaramanga,2024-09-02 / 2024-09-08,76515,4.33%,535605,4.33%,643,42577,5.46%,7.95%,0.09PP,11.37%,-0.73PP,0.90%,-0.05PP,1.59%,0.06PP,2.60%,0.64PP,4.44,21.4
CO,Cúcuta,2024-09-02 / 2024-09-08,23736,17.20%,166153,17.20%,827,10360,22.10%,6.24%,0.25PP,8.47%,0.53PP,0.53%,0.05PP,4.24%,-1.05PP,1.21%,-1.47PP,5.12,8.3
CO,Pereira,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Manizales,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Villavicencio,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Medellín,2024-09-02 / 2024-09-08,689805,-3.13%,4828637,-3.13%,652,338252,-3.50%,7.01%,-0.03PP,14.69%,0.56PP,1.03%,0.04PP,1.07%,-0.06PP,2.23%,-0.08PP,4.40,52.7
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,859649,7.43%,6017540,7.43%,462,381138,7.99%,6.33%,0.03PP,13.66%,-0.18PP,0.87%,-0.01PP,1.74%,-0.00PP,3.09%,0.17PP,4.29,46.5
CR,Liberia,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,San Jose,2024-09-02 / 2024-09-08,288752,-7.38%,2021262,-7.38%,308,119991,-6.34%,5.94%,0.07PP,14.33%,0.53PP,0.85%,0.04PP,1.86%,-0.07PP,2.19%,0.01PP,4.28,30.6
PE,Arequipa,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Lima,2024-09-02 / 2024-09-08,321443,-5.70%,2250103,-5.70%,282,137099,-4.28%,6.09%,0.09PP,13.36%,-0.17PP,0.81%,0.00PP,1.64%,-0.11PP,2.08%,-0.32PP,4.23,32.5
MX,Carmen,2024-08-26 / 2024-09-01,23243,-4.98%,162699,-4.98%,594,9628,1.42%,5.92%,0.37PP,15.79%,-0.73PP,0.93%,0.02PP,3.43%,-0.17PP,1.34%,0.17PP,4.50,10.7
MX,Las Choapas,2024-08-26 / 2024-09-01,10557,-5.98%,73902,-5.98%,371,4363,1.47%,5.90%,0.43PP,15.36%,-0.18PP,0.91%,0.06PP,3.09%,0.46PP,1.63%,0.50PP,4.38,9.8
MX,Cordoba,2024-08-26 / 2024-09-01,49767,0.61%,348367,0.61%,395,22709,1.25%,6.52%,0.04PP,15.84%,0.37PP,1.03%,0.03PP,2.22%,-0.02PP,1.09%,-0.29PP,4.71,16.6
MX,Orizaba,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Zamora,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,La Piedad,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Minatitlan,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Uruapan,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Abejones,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Tulancingo,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Apizaco,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,218105,5.91%,1526735,5.91%,823,94610,1.46%,6.20%,-0.27PP,15.62%,0.06PP,0.97%,-0.04PP,0.95%,0.09PP,1.27%,0.04PP,4.55,26.1
MX,Xalapa,2024-08-26 / 2024-09-01,44153,9.14%,309073,9.14%,276,18299,6.83%,5.92%,-0.13PP,12.43%,-0.62PP,0.74%,-0.05PP,2.46%,0.47PP,2.62%,0.89PP,4.21,22.5
MX,Tapachula,2024-08-26 / 2024-09-01,27073,-0.85%,189514,-0.85%,443,11115,-2.03%,5.87%,-0.07PP,14.04%,0.43PP,0.82%,0.02PP,2.11%,-0.94PP,1.34%,-0.35PP,4.38,15.3
MX,Tlaxcala,2024-08-26 / 2024-09-01,49045,6.57%,343314,6.57%,356,21575,5.41%,6.28%,-0.07PP,15.52%,-0.21PP,0.98%,-0.02PP,2.48%,0.57PP,1.48%,-0.55PP,4.44,19.3
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,18314,-0.32%,128199,-0.32%,362,7995,-2.88%,6.24%,-0.16PP,14.30%,-0.06PP,0.89%,-0.03PP,2.95%,1.19PP,1.15%,0.79PP,4.63,11.3
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,27189,11.96%,190325,11.96%,453,11042,15.26%,5.80%,0.17PP,14.84%,-1.38PP,0.86%,-0.05PP,2.32%,0.79PP,1.24%,0.00PP,4.54,17.7
MX,Pachuca,2024-08-26 / 2024-09-01,52545,1.11%,367817,1.11%,213,22057,0.07%,6.00%,-0.06PP,16.17%,0.07PP,0.97%,-0.01PP,2.63%,0.74PP,1.77%,0.16PP,4.49,22.8
MX,Tehuacan,2024-08-26 / 2024-09-01,30738,1.83%,215168,1.83%,330,11546,-0.23%,5.37%,-0.11PP,14.84%,-0.65PP,0.80%,-0.05PP,1.66%,0.28PP,1.04%,-0.38PP,4.52,18.8
MX,Oaxaca,2024-08-26 / 2024-09-01,151188,13.02%,1058316,13.02%,389,67328,7.30%,6.36%,-0.34PP,15.94%,-0.81PP,1.01%,-0.11PP,2.19%,0.36PP,1.63%,0.35PP,4.35,32.5
MX,Puebla,2024-08-26 / 2024-09-01,379713,10.18%,2657991,10.18%,396,162211,5.62%,6.10%,-0.26PP,15.43%,-0.96PP,0.94%,-0.10PP,1.85%,0.22PP,1.74%,-0.14PP,4.42,33.7
MX,Merida,2024-08-26 / 2024-09-01,174911,-0.01%,1224380,-0.01%,414,72122,-0.57%,5.89%,-0.03PP,14.45%,0.11PP,0.85%,0.00PP,2.31%,0.27PP,1.73%,0.03PP,4.39,21.0
MX,Veracruz,2024-08-26 / 2024-09-01,126656,3.77%,886589,3.77%,373,54412,1.81%,6.14%,-0.12PP,15.00%,-0.28PP,0.92%,-0.04PP,1.72%,0.17PP,1.57%,0.00PP,4.49,25.6
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,31027,-1.10%,217188,-1.10%,442,13195,-1.24%,6.08%,-0.01PP,12.87%,0.02PP,0.78%,-0.00PP,2.23%,0.26PP,1.88%,0.51PP,4.43,15.2
MX,Campeche,2024-08-26 / 2024-09-01,49179,-0.71%,344256,-0.71%,430,22617,0.31%,6.57%,0.07PP,14.86%,0.29PP,0.98%,0.03PP,2.15%,0.17PP,1.03%,-0.01PP,4.57,16.8
MX,Solidaridad,2024-08-26 / 2024-09-01,28370,1.21%,198589,1.21%,320,10783,0.81%,5.43%,-0.02PP,15.13%,-0.65PP,0.82%,-0.04PP,2.31%,0.53PP,1.61%,-0.24PP,4.46,18.7
MX,Morelia,2024-08-26 / 2024-09-01,191163,-0.90%,1338142,-0.90%,406,93277,-0.74%,6.97%,0.01PP,17.62%,0.51PP,1.23%,0.04PP,1.44%,-0.06PP,1.36%,-0.18PP,4.44,35.3
MX,Acapulco,2024-08-26 / 2024-09-01,36021,-2.61%,252145,-2.61%,496,16394,2.71%,6.50%,0.34PP,13.57%,-0.80PP,0.88%,-0.00PP,1.58%,0.51PP,1.80%,0.46PP,4.44,10.6
MX,Cancun,2024-08-26 / 2024-09-01,239053,9.35%,1673373,9.35%,693,90552,5.07%,5.41%,-0.22PP,15.45%,-0.76PP,0.84%,-0.08PP,1.75%,0.40PP,1.65%,-0.26PP,4.41,28.7
MX,Cuernavaca,2024-08-26 / 2024-09-01,186863,0.08%,1308040,0.08%,430,80294,-0.52%,6.14%,-0.04PP,16.49%,-0.26PP,1.01%,-0.02PP,2.05%,0.50PP,1.69%,-0.05PP,4.50,22.3
MX,Villahermosa,2024-08-26 / 2024-09-01,187380,-0.47%,1311659,-0.47%,537,82591,-1.48%,6.30%,-0.06PP,14.19%,0.08PP,0.89%,-0.00PP,1.84%,-0.11PP,1.34%,0.05PP,4.42,37.9
MX,Chetumal,2024-08-26 / 2024-09-01,24557,-0.91%,171896,-0.91%,571,10441,4.55%,6.07%,0.32PP,17.60%,1.23PP,1.07%,0.13PP,3.36%,0.35PP,1.34%,0.01PP,4.48,11.1
MX,Navojoa,2024-08-26 / 2024-09-01,30089,1.61%,210623,1.61%,527,14300,1.20%,6.79%,-0.03PP,14.67%,-0.11PP,1.00%,-0.01PP,1.34%,0.51PP,0.95%,-0.11PP,4.45,14.7
MX,Guaymas,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,111365,7.00%,779557,7.00%,618,51882,3.64%,6.66%,-0.22PP,15.65%,-0.90PP,1.04%,-0.10PP,1.92%,-0.14PP,1.29%,-0.29PP,4.34,23.8
MX,Ensenada,2024-08-26 / 2024-09-01,187050,1.60%,1309351,1.60%,533,88806,1.47%,6.78%,-0.01PP,19.44%,-0.06PP,1.32%,-0.01PP,1.20%,-0.14PP,1.12%,-0.11PP,4.45,32.6
MX,Hermosillo,2024-08-26 / 2024-09-01,193561,2.40%,1354929,2.40%,411,88952,1.77%,6.57%,-0.04PP,14.52%,0.27PP,0.95%,0.01PP,2.18%,0.18PP,1.72%,-0.03PP,4.25,26.5
MX,Nogales(SON),2024-08-26 / 2024-09-01,2,-76.09%,11,-76.09%,-,0,-100.00%,0.00%,-8.70PP,-,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Mexicali,2024-08-26 / 2024-09-01,359221,1.91%,2514547,1.91%,716,181596,-0.61%,7.22%,-0.18PP,18.08%,0.29PP,1.31%,-0.01PP,1.20%,-0.08PP,1.22%,-0.05PP,4.43,35.4
MX,Los Cabos,2024-08-26 / 2024-09-01,61232,2.72%,428625,2.72%,321,29803,-0.23%,6.95%,-0.21PP,17.75%,-0.45PP,1.23%,-0.07PP,1.75%,-0.02PP,1.53%,-0.18PP,4.28,18.4
MX,Manzanillo,2024-08-26 / 2024-09-01,48464,6.83%,339251,6.83%,539,21820,4.63%,6.43%,-0.14PP,18.66%,-0.15PP,1.20%,-0.04PP,2.16%,0.85PP,1.05%,0.26PP,4.56,14.7
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,63942,3.81%,447593,3.81%,313,30744,0.18%,6.87%,-0.25PP,18.43%,-0.45PP,1.27%,-0.08PP,1.76%,-0.13PP,1.93%,-0.00PP,4.37,16.0
MX,Tepic,2024-08-26 / 2024-09-01,155720,3.52%,1090041,3.52%,443,71233,0.35%,6.53%,-0.21PP,16.57%,-0.42PP,1.08%,-0.06PP,1.45%,-0.16PP,1.23%,0.07PP,4.52,30.0
MX,Guadalajara,2024-08-26 / 2024-09-01,1159687,5.66%,8117810,5.66%,416,521991,1.26%,6.43%,-0.28PP,17.75%,-0.47PP,1.14%,-0.08PP,1.54%,0.07PP,1.49%,-0.06PP,4.45,41.6
MX,La Paz,2024-08-26 / 2024-09-01,108354,4.21%,758481,4.21%,520,51245,4.66%,6.76%,0.03PP,16.09%,-0.02PP,1.09%,0.00PP,1.66%,0.14PP,1.42%,-0.07PP,4.39,19.5
MX,Colima,2024-08-26 / 2024-09-01,102637,6.53%,718458,6.53%,597,47412,4.71%,6.60%,-0.11PP,17.23%,-0.91PP,1.14%,-0.08PP,1.18%,0.26PP,1.04%,-0.07PP,4.60,22.3
MX,Mazatlan,2024-08-26 / 2024-09-01,125568,0.51%,878978,0.51%,487,50133,0.63%,5.70%,0.01PP,14.16%,-0.08PP,0.81%,-0.00PP,2.01%,-0.04PP,1.01%,-0.22PP,4.62,24.3
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,97880,5.61%,685159,5.61%,477,45360,3.00%,6.62%,-0.17PP,14.48%,-0.09PP,0.96%,-0.03PP,2.00%,0.06PP,1.39%,0.24PP,4.39,22.1
MX,Tijuana,2024-08-26 / 2024-09-01,297778,-1.91%,2084444,-1.91%,439,139121,-3.35%,6.67%,-0.10PP,18.07%,0.18PP,1.21%,-0.01PP,1.80%,0.07PP,1.48%,-0.11PP,4.41,26.4
MX,Culiacan,2024-08-26 / 2024-09-01,253017,14.18%,1771117,14.18%,552,108170,7.01%,6.11%,-0.41PP,14.41%,-1.14PP,0.88%,-0.13PP,1.84%,0.20PP,1.64%,0.09PP,4.25,30.0
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,2,-47.83%,12,-47.83%,0,1,0.00%,8.33%,3.99PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Guanajuato,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Valles City,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Zacatecas,2024-08-26 / 2024-09-01,62240,8.31%,435679,8.31%,304,26320,5.52%,6.04%,-0.16PP,17.47%,-1.72PP,1.06%,-0.13PP,2.65%,0.68PP,1.52%,0.08PP,4.55,19.0
MX,Chihuahua,2024-08-26 / 2024-09-01,186386,4.81%,1304705,4.81%,368,86018,4.65%,6.59%,-0.01PP,13.62%,-1.34PP,0.90%,-0.09PP,2.61%,-0.06PP,1.72%,0.35PP,4.43,32.2
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,72686,4.46%,508802,4.46%,830,32992,-1.13%,6.48%,-0.37PP,13.93%,-0.82PP,0.90%,-0.11PP,1.22%,0.33PP,1.38%,0.12PP,4.50,13.8
MX,Salamanca,2024-08-26 / 2024-09-01,15873,0.08%,111114,0.08%,298,6126,-0.62%,5.51%,-0.04PP,18.28%,0.89PP,1.01%,0.04PP,2.90%,1.29PP,0.85%,-0.03PP,4.67,13.0
MX,San Luis Potosi,2024-08-26 / 2024-09-01,164241,1.11%,1149686,1.11%,346,76521,0.29%,6.66%,-0.05PP,19.37%,-0.69PP,1.29%,-0.06PP,1.70%,0.18PP,1.55%,0.11PP,4.45,23.9
MX,Monclova,2024-08-26 / 2024-09-01,6,-11.36%,39,-11.36%,-,1,-,2.56%,2.56PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Torreon,2024-08-26 / 2024-09-01,203309,10.83%,1423160,10.83%,456,88403,6.79%,6.21%,-0.23PP,15.52%,-1.37PP,0.96%,-0.12PP,1.85%,0.28PP,1.50%,0.08PP,4.45,22.1
MX,Matamoros,2024-08-26 / 2024-09-01,139725,1.94%,978076,1.94%,727,63052,-0.36%,6.45%,-0.15PP,16.00%,0.16PP,1.03%,-0.01PP,1.16%,-0.17PP,1.46%,0.05PP,4.50,22.6
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,380665,3.54%,2664656,3.54%,656,170230,0.26%,6.39%,-0.21PP,16.14%,-0.99PP,1.03%,-0.10PP,1.58%,0.07PP,1.73%,0.30PP,4.39,24.7
MX,Leon,2024-08-26 / 2024-09-01,196745,2.23%,1377212,2.23%,281,84572,0.86%,6.14%,-0.08PP,16.28%,-0.18PP,1.00%,-0.03PP,2.07%,0.26PP,1.70%,0.07PP,4.47,26.5
MX,Victoria,2024-08-26 / 2024-09-01,99949,9.67%,699641,9.67%,603,43886,8.45%,6.27%,-0.07PP,12.91%,-1.56PP,0.81%,-0.11PP,1.89%,0.52PP,1.48%,0.14PP,4.41,22.7
MX,Irapuato,2024-08-26 / 2024-09-01,59947,1.67%,419632,1.67%,312,23665,1.79%,5.64%,0.01PP,15.76%,-0.69PP,0.89%,-0.04PP,2.65%,0.80PP,1.17%,-0.36PP,4.61,21.6
MX,San Juan del Río,2024-08-26 / 2024-09-01,41208,4.78%,288457,4.78%,410,18324,3.22%,6.35%,-0.10PP,18.71%,-0.43PP,1.19%,-0.05PP,1.72%,-0.53PP,1.41%,-0.03PP,4.56,17.1
MX,Queretaro,2024-08-26 / 2024-09-01,213195,4.46%,1492363,4.46%,334,91014,0.98%,6.10%,-0.21PP,17.48%,-0.44PP,1.07%,-0.06PP,1.37%,-0.05PP,1.40%,0.14PP,4.63,27.9
MX,Saltillo,2024-08-26 / 2024-09-01,122044,16.33%,854311,16.33%,608,46173,4.64%,5.40%,-0.60PP,15.09%,-1.37PP,0.82%,-0.17PP,2.11%,0.12PP,1.80%,0.34PP,4.40,18.3
MX,Delicias,2024-08-26 / 2024-09-01,31704,-1.86%,221930,-1.86%,423,15174,-1.74%,6.84%,0.01PP,20.13%,-0.27PP,1.38%,-0.02PP,1.07%,0.26PP,0.78%,-0.41PP,4.60,19.7
MX,Durango,2024-08-26 / 2024-09-01,218339,3.75%,1528371,3.75%,466,98208,-0.25%,6.43%,-0.26PP,18.78%,-0.26PP,1.21%,-0.07PP,1.81%,-0.56PP,1.59%,0.00PP,4.47,33.9
MX,Celaya,2024-08-26 / 2024-09-01,69265,6.55%,484856,6.55%,459,28027,4.42%,5.78%,-0.12PP,18.91%,-0.60PP,1.09%,-0.06PP,1.92%,0.46PP,1.00%,-0.17PP,4.49,19.8
MX,Tampico,2024-08-26 / 2024-09-01,142238,4.09%,995667,4.09%,605,62783,4.05%,6.31%,-0.00PP,17.18%,-0.71PP,1.08%,-0.04PP,1.45%,0.14PP,1.16%,0.23PP,4.53,25.9
MX,Aguascalientes,2024-08-26 / 2024-09-01,150051,6.40%,1050354,6.40%,391,64754,2.32%,6.16%,-0.25PP,16.93%,-0.60PP,1.04%,-0.08PP,1.94%,0.04PP,1.40%,0.23PP,4.57,23.1
MX,Reynosa,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Monterrey,2024-08-26 / 2024-09-01,1024134,11.72%,7168938,11.72%,524,458351,5.27%,6.39%,-0.39PP,16.21%,-1.20PP,1.04%,-0.15PP,1.92%,0.30PP,1.31%,0.12PP,4.40,31.3
MX,Mexico City,2024-08-26 / 2024-09-01,2498034,4.13%,17486238,4.13%,430,1031104,0.52%,5.90%,-0.21PP,14.35%,-0.58PP,0.85%,-0.07PP,1.96%,0.03PP,2.27%,0.10PP,4.43,36.6
MX,Toluca,2024-08-26 / 2024-09-01,217479,1.30%,1522351,1.30%,347,87709,0.67%,5.76%,-0.04PP,15.61%,-0.12PP,0.90%,-0.01PP,1.94%,-0.36PP,1.98%,0.10PP,4.36,24.4
CO,Valledupar,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Santa marta,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Ibagué,2024-08-26 / 2024-09-01,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Barranquilla,2024-08-26 / 2024-09-01,228333,-2.14%,1598330,-2.14%,722,120028,-3.95%,7.51%,-0.14PP,11.89%,-0.43PP,0.89%,-0.05PP,1.25%,-0.26PP,2.39%,0.08PP,4.36,34.6
