Country,city_name,stat_date(周),Daily Traffic,Daily Traffic WoW,Traffic,Traffic WoW,Exposure UV per Eff Online Rs,Shop Enter UV,Shop Enter UV WoW,B P1,B P1 WoW,B P2,B P2 WoW,B P1*P2,B P1*P2 WoW,B Cancel Rate,B Cancel Rate WoW,B Bad Rating Rate,B Bad Rating Rate WoW,Average Rating,Average Position
MX,Irapuato,2024-09-09 / 2024-09-15,54744,-0.17%,383206,-0.17%,295,21825,-3.28%,5.70%,-0.18PP,17.36%,0.87PP,0.99%,0.02PP,2.93%,0.24PP,1.54%,0.21PP,4.47,23.4
MX,San Juan del Río,2024-09-09 / 2024-09-15,41618,6.16%,291323,6.16%,403,18023,-0.06%,6.19%,-0.38PP,17.09%,-0.80PP,1.06%,-0.12PP,2.64%,0.64PP,1.62%,0.03PP,4.45,17.8
MX,Monclova,2024-09-09 / 2024-09-15,3,-25.00%,18,-25.00%,-,2,100.00%,11.11%,6.94PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Durango,2024-09-09 / 2024-09-15,209629,-5.43%,1467400,-5.43%,442,93801,-6.58%,6.39%,-0.08PP,19.54%,1.52PP,1.25%,0.08PP,1.78%,0.30PP,1.37%,-0.22PP,4.48,35.0
MX,San Luis Potosi,2024-09-09 / 2024-09-15,171810,-2.44%,1202673,-2.44%,358,76593,-4.20%,6.37%,-0.12PP,18.45%,0.27PP,1.18%,-0.00PP,1.95%,0.20PP,1.76%,-0.00PP,4.38,23.4
MX,Celaya,2024-09-09 / 2024-09-15,62217,-0.87%,435522,-0.87%,405,25707,-1.81%,5.90%,-0.06PP,20.22%,0.69PP,1.19%,0.03PP,1.42%,0.11PP,1.30%,0.06PP,4.45,21.1
MX,Delicias,2024-09-09 / 2024-09-15,31705,3.07%,221934,3.07%,433,14824,-2.62%,6.68%,-0.39PP,20.77%,0.22PP,1.39%,-0.07PP,1.00%,0.35PP,0.92%,0.20PP,4.51,19.6
MX,Leon,2024-09-09 / 2024-09-15,191768,1.48%,1342378,1.48%,268,81577,-1.76%,6.08%,-0.20PP,16.54%,0.36PP,1.01%,-0.01PP,2.14%,0.38PP,1.64%,-0.04PP,4.45,28.1
MX,Aguascalientes,2024-09-09 / 2024-09-15,138521,1.93%,969646,1.93%,358,60708,-2.49%,6.26%,-0.28PP,17.80%,0.54PP,1.11%,-0.02PP,1.69%,-0.13PP,1.33%,-0.27PP,4.52,24.8
MX,Saltillo,2024-09-09 / 2024-09-15,111769,2.21%,782381,2.21%,564,43200,-2.07%,5.52%,-0.24PP,15.65%,1.16PP,0.86%,0.03PP,1.88%,-0.23PP,1.58%,0.13PP,4.47,19.7
MX,Reynosa,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Monterrey,2024-09-09 / 2024-09-15,903709,-3.15%,6325961,-3.15%,458,412717,-4.64%,6.52%,-0.10PP,17.33%,1.12PP,1.13%,0.06PP,1.66%,-0.19PP,1.15%,-0.01PP,4.42,34.5
MX,Mexico City,2024-09-09 / 2024-09-15,2340288,4.30%,16382015,4.30%,403,946055,-1.08%,5.77%,-0.31PP,15.34%,0.14PP,0.89%,-0.04PP,2.13%,0.20PP,2.20%,0.07PP,4.40,41.7
MX,Toluca,2024-09-09 / 2024-09-15,210580,8.57%,1474062,8.57%,335,82672,0.76%,5.61%,-0.43PP,16.03%,-0.50PP,0.90%,-0.10PP,2.27%,0.39PP,2.11%,0.04PP,4.28,26.7
CO,Ibagué,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Valledupar,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Santa marta,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Cartagena,2024-09-09 / 2024-09-15,70572,-10.95%,494004,-10.95%,1739,26049,-17.71%,5.27%,-0.43PP,7.11%,-0.70PP,0.37%,-0.07PP,2.96%,-0.26PP,2.46%,-0.26PP,4.48,10.7
CO,Cali,2024-09-09 / 2024-09-15,392216,-4.17%,2745511,-4.17%,529,183145,-5.35%,6.67%,-0.08PP,13.37%,0.08PP,0.89%,-0.01PP,1.52%,-0.02PP,2.33%,-0.09PP,4.31,37.8
CO,Bucaramanga,2024-09-09 / 2024-09-15,72484,-5.27%,507389,-5.27%,589,39300,-7.70%,7.75%,-0.20PP,11.62%,0.25PP,0.90%,-0.00PP,1.37%,-0.22PP,2.02%,-0.58PP,4.58,21.1
CO,Barranquilla,2024-09-09 / 2024-09-15,226398,-2.98%,1584785,-2.98%,689,119745,-2.91%,7.56%,0.00PP,12.19%,0.26PP,0.92%,0.02PP,1.44%,-0.02PP,2.40%,0.14PP,4.32,36.8
CO,Cúcuta,2024-09-09 / 2024-09-15,24027,1.23%,168191,1.23%,809,9410,-9.17%,5.59%,-0.64PP,8.66%,0.19PP,0.48%,-0.04PP,3.88%,-0.36PP,2.20%,0.99PP,4.65,8.8
CO,Pereira,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Manizales,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CO,Medellín,2024-09-09 / 2024-09-15,659725,-4.36%,4618078,-4.36%,620,323262,-4.43%,7.00%,-0.01PP,14.96%,0.27PP,1.05%,0.02PP,1.00%,-0.07PP,2.27%,0.04PP,4.36,54.3
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,787706,-8.37%,5513945,-8.37%,411,341519,-10.39%,6.19%,-0.14PP,14.09%,0.42PP,0.87%,0.01PP,1.81%,0.07PP,3.08%,-0.01PP,4.23,46.0
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
CR,San Jose,2024-09-09 / 2024-09-15,294020,1.82%,2058140,1.82%,316,120554,0.47%,5.86%,-0.08PP,14.81%,0.48PP,0.87%,0.02PP,2.04%,0.18PP,2.20%,0.02PP,4.25,31.3
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
PE,Lima,2024-09-09 / 2024-09-15,310161,-3.51%,2171129,-3.51%,271,130797,-4.60%,6.02%,-0.07PP,13.70%,0.33PP,0.83%,0.01PP,1.57%,-0.07PP,2.10%,0.03PP,4.21,33.6
MX,Carmen,2024-09-02 / 2024-09-08,23232,-0.05%,162621,-0.05%,598,10237,6.33%,6.30%,0.38PP,16.10%,0.31PP,1.01%,0.08PP,3.06%,-0.36PP,1.03%,-0.32PP,4.59,9.9
MX,Las Choapas,2024-09-02 / 2024-09-08,10665,1.02%,74657,1.02%,410,4355,-0.18%,5.83%,-0.07PP,15.29%,-0.06PP,0.89%,-0.01PP,1.88%,-1.21PP,1.17%,-0.46PP,4.46,9.6
MX,Cordoba,2024-09-02 / 2024-09-08,48393,-2.76%,338749,-2.76%,371,22577,-0.58%,6.66%,0.15PP,15.28%,-0.55PP,1.02%,-0.01PP,2.05%,-0.17PP,1.45%,0.36PP,4.62,17.6
MX,Minatitlan,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Uruapan,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,La Piedad,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Orizaba,2024-09-02 / 2024-09-08,0,-,1,-,-,1,-,100.00%,100.00PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Apizaco,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Zamora,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Tulancingo,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Abejones,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Xalapa,2024-09-02 / 2024-09-08,43788,-0.83%,306514,-0.83%,289,18784,2.65%,6.13%,0.21PP,12.60%,0.17PP,0.77%,0.04PP,2.35%,-0.11PP,1.77%,-0.85PP,4.36,23.4
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,231026,5.92%,1617184,5.92%,868,98533,4.15%,6.09%,-0.10PP,14.74%,-0.87PP,0.90%,-0.07PP,1.32%,0.36PP,1.49%,0.22PP,4.56,26.1
MX,Tapachula,2024-09-02 / 2024-09-08,25859,-4.48%,181015,-4.48%,443,10834,-2.53%,5.99%,0.12PP,14.06%,0.01PP,0.84%,0.02PP,1.50%,-0.61PP,1.35%,0.01PP,4.60,15.2
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,18815,2.73%,131705,2.73%,372,8371,4.70%,6.36%,0.12PP,12.59%,-1.71PP,0.80%,-0.09PP,2.79%,-0.16PP,0.96%,-0.19PP,4.80,11.0
MX,Pachuca,2024-09-02 / 2024-09-08,51978,-1.08%,363848,-1.08%,208,22248,0.87%,6.11%,0.12PP,15.86%,-0.31PP,0.97%,0.00PP,2.34%,-0.29PP,2.02%,0.24PP,4.46,22.1
MX,Morelia,2024-09-02 / 2024-09-08,186488,-2.45%,1305419,-2.45%,394,90000,-3.51%,6.89%,-0.08PP,17.63%,0.00PP,1.22%,-0.01PP,1.35%,-0.09PP,1.62%,0.26PP,4.41,36.7
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,24743,-9.00%,173198,-9.00%,415,10260,-7.08%,5.92%,0.12PP,15.71%,0.87PP,0.93%,0.07PP,2.06%,-0.25PP,1.29%,0.06PP,4.44,17.8
MX,Chetumal,2024-09-02 / 2024-09-08,23096,-5.95%,161669,-5.95%,556,10463,0.21%,6.47%,0.40PP,16.71%,-0.90PP,1.08%,0.01PP,2.91%,-0.45PP,1.40%,0.06PP,4.52,11.3
MX,Puebla,2024-09-02 / 2024-09-08,348567,-8.20%,2439972,-8.20%,364,154825,-4.55%,6.35%,0.24PP,15.90%,0.47PP,1.01%,0.07PP,1.59%,-0.26PP,1.85%,0.11PP,4.40,35.5
MX,Oaxaca,2024-09-02 / 2024-09-08,138527,-8.37%,969690,-8.37%,354,63598,-5.54%,6.56%,0.20PP,16.45%,0.51PP,1.08%,0.06PP,2.03%,-0.16PP,1.24%,-0.40PP,4.45,32.5
MX,Tlaxcala,2024-09-02 / 2024-09-08,44558,-9.15%,311907,-9.15%,319,20019,-7.21%,6.42%,0.13PP,15.34%,-0.18PP,0.98%,0.01PP,2.04%,-0.43PP,1.64%,0.16PP,4.51,20.5
MX,Merida,2024-09-02 / 2024-09-08,166343,-4.90%,1164400,-4.90%,397,69249,-3.98%,5.95%,0.06PP,13.66%,-0.79PP,0.81%,-0.04PP,2.51%,0.20PP,1.67%,-0.06PP,4.38,20.2
MX,Veracruz,2024-09-02 / 2024-09-08,118986,-6.06%,832900,-6.06%,350,51900,-4.62%,6.23%,0.09PP,15.15%,0.15PP,0.94%,0.02PP,1.91%,0.19PP,1.67%,0.10PP,4.55,26.7
MX,Cancun,2024-09-02 / 2024-09-08,213570,-10.66%,1494992,-10.66%,611,83962,-7.28%,5.62%,0.20PP,15.51%,0.05PP,0.87%,0.03PP,1.50%,-0.25PP,1.67%,0.02PP,4.46,30.0
MX,Acapulco,2024-09-02 / 2024-09-08,32759,-9.05%,229315,-9.05%,464,15984,-2.50%,6.97%,0.47PP,13.48%,-0.09PP,0.94%,0.06PP,1.84%,0.26PP,1.52%,-0.29PP,4.47,10.8
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,32997,6.35%,230979,6.35%,494,13006,-1.43%,5.63%,-0.44PP,11.62%,-1.25PP,0.65%,-0.13PP,3.06%,0.83PP,1.12%,-0.75PP,4.46,14.6
MX,Campeche,2024-09-02 / 2024-09-08,46167,-6.13%,323170,-6.13%,389,21778,-3.71%,6.74%,0.17PP,15.08%,0.23PP,1.02%,0.04PP,1.78%,-0.38PP,1.13%,0.10PP,4.54,17.1
MX,Tehuacan,2024-09-02 / 2024-09-08,31146,1.33%,218021,1.33%,328,11750,1.77%,5.39%,0.02PP,15.30%,0.47PP,0.82%,0.03PP,2.12%,0.46PP,1.25%,0.20PP,4.55,19.7
MX,Solidaridad,2024-09-02 / 2024-09-08,26636,-6.11%,186455,-6.11%,304,10693,-0.83%,5.73%,0.31PP,15.22%,0.10PP,0.87%,0.05PP,2.15%,-0.16PP,1.89%,0.27PP,4.43,18.6
MX,Villahermosa,2024-09-02 / 2024-09-08,188400,0.54%,1318799,0.54%,547,80649,-2.35%,6.12%,-0.18PP,13.90%,-0.29PP,0.85%,-0.04PP,1.79%,-0.05PP,1.32%,-0.02PP,4.40,38.9
MX,Cuernavaca,2024-09-02 / 2024-09-08,172873,-7.49%,1210112,-7.49%,395,77080,-4.00%,6.37%,0.23PP,16.67%,0.18PP,1.06%,0.05PP,1.91%,-0.14PP,1.82%,0.13PP,4.41,22.9
MX,Navojoa,2024-09-02 / 2024-09-08,28690,-4.65%,200829,-4.65%,505,14362,0.43%,7.15%,0.36PP,14.71%,0.03PP,1.05%,0.06PP,1.74%,0.40PP,0.93%,-0.03PP,4.46,14.6
MX,Guaymas,2024-09-02 / 2024-09-08,0,-,0,-,-,0,-,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Ensenada,2024-09-02 / 2024-09-08,190030,1.59%,1330211,1.59%,534,88556,-0.28%,6.66%,-0.13PP,19.73%,0.30PP,1.31%,-0.00PP,1.28%,0.08PP,1.17%,0.05PP,4.45,34.0
MX,Nogales(SON),2024-09-02 / 2024-09-08,2,18.18%,13,18.18%,-,1,-,7.69%,7.69PP,0.00%,0.00PP,0.00%,0.00PP,-,0.00PP,-,0.00PP,-,-
MX,Mexicali,2024-09-02 / 2024-09-08,368533,2.59%,2579733,2.59%,724,186268,2.57%,7.22%,-0.00PP,18.05%,-0.04PP,1.30%,-0.00PP,1.37%,0.18PP,1.22%,0.00PP,4.42,36.1
MX,Los Cabos,2024-09-02 / 2024-09-08,55444,-9.45%,388107,-9.45%,294,28025,-5.97%,7.22%,0.27PP,18.39%,0.65PP,1.33%,0.09PP,1.52%,-0.22PP,1.25%,-0.28PP,4.30,19.2
MX,Manzanillo,2024-09-02 / 2024-09-08,47150,-2.71%,330050,-2.71%,543,21047,-3.54%,6.38%,-0.05PP,17.50%,-1.15PP,1.12%,-0.08PP,1.73%,-0.43PP,1.15%,0.10PP,4.53,14.9
