Country,city_name,stat_date(周),R Burn / GMV,B2C / GMV,P2C / GMV,TED / GMV
MX,Celaya,2024-09-09 / 2024-09-15,11.68%,2.88%,3.35%,17.92%
MX,Queretaro,2024-09-09 / 2024-09-15,16.44%,2.03%,5.59%,24.06%
MX,Zacatecas,2024-09-09 / 2024-09-15,12.92%,2.28%,3.08%,18.28%
MX,Saltillo,2024-09-09 / 2024-09-15,11.21%,2.42%,4.38%,18.01%
MX,Tampico,2024-09-09 / 2024-09-15,23.52%,4.38%,4.19%,32.07%
MX,Monclova,2024-09-09 / 2024-09-15,-,-,-,-
MX,Torreon,2024-09-09 / 2024-09-15,12.14%,2.00%,5.80%,19.94%
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,11.72%,2.11%,5.31%,19.14%
MX,Irapuato,2024-09-09 / 2024-09-15,12.14%,1.44%,3.30%,16.89%
MX,Victoria,2024-09-09 / 2024-09-15,17.66%,3.67%,4.79%,26.12%
MX,San Luis Potosi,2024-09-09 / 2024-09-15,11.66%,1.96%,4.08%,17.70%
MX,Durango,2024-09-09 / 2024-09-15,13.72%,2.27%,2.72%,18.71%
MX,Matamoros,2024-09-09 / 2024-09-15,11.59%,2.08%,3.41%,17.08%
MX,Reynosa,2024-09-09 / 2024-09-15,-,-,-,-
MX,Monterrey,2024-09-09 / 2024-09-15,16.52%,2.22%,5.16%,23.89%
MX,Mexico City,2024-09-09 / 2024-09-15,15.38%,3.24%,5.73%,24.35%
MX,Toluca,2024-09-09 / 2024-09-15,16.45%,2.97%,3.64%,23.05%
CO,Ibagué,2024-09-09 / 2024-09-15,-,-,-,-
CO,Santa marta,2024-09-09 / 2024-09-15,-,-,-,-
CO,Valledupar,2024-09-09 / 2024-09-15,-,-,-,-
CO,Cartagena,2024-09-09 / 2024-09-15,15.04%,5.61%,17.29%,37.94%
CO,Cúcuta,2024-09-09 / 2024-09-15,21.49%,5.92%,15.93%,43.34%
CO,Cali,2024-09-09 / 2024-09-15,24.50%,6.76%,9.20%,40.46%
CO,Bucaramanga,2024-09-09 / 2024-09-15,26.18%,4.04%,11.70%,41.92%
CO,Barranquilla,2024-09-09 / 2024-09-15,31.55%,3.95%,9.42%,44.93%
CO,Pereira,2024-09-09 / 2024-09-15,-,-,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,-,-,-,-
CO,Manizales,2024-09-09 / 2024-09-15,-,-,-,-
CO,Medellín,2024-09-09 / 2024-09-15,26.39%,4.92%,8.55%,39.85%
